Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),78.0,77.2
Population below age 15 years (%),23.0,25.4
"Sex ratio of the total population (females per 1,000 males)",973,957
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",927,"1,060"
Children under age 5 years whose birth was registered with the civil authority (%),98.0,99.3
Deaths in the last 3 years registered with the civil authority (%),83.2,na
Population living in households with electricity (%),97.9,99.6
Population living in households with an improved drinking-water source (%),98.8,99.8
Population living in households that use an improved sanitation facility(%),83.5,85.9
Households using clean fuel for cooking (%),56.9,39.3
Households using iodized salt (%),99.4,99.7
Households with any usual member covered under a health insurance/financing scheme (%),2.7,4.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(29.5),na
Women who are literate (%),87.5,na
Women with 10 or more years of schooling (%),53.5,43.7
Women age 20-24 years married before age 18 years (%),11.4,8.3
Births in the 5 years preceding the survey that are third or higher order (%),0.0,3.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.8,3.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),100.0,96.1
Any method (%),65.3,38.0
Any modern method (%),57.2,37.8
Female sterilization (%),46.4,35.6
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),2.7,0.0
Pill (%),2.0,1.1
Condom (%),4.9,1.2
Injectables (%),1.2,0.0
Total unmet need(%),9.5,18.0
Unmet need for spacing (%),3.3,14.2
Health worker ever talked to female non-users about family planning (%),40.4,48.1
Current users ever told about side effects of current method (%),49.4,87.6
Mothers who had an antenatal check-up in the first trimester (%),62.8,62.0
Mothers who had at least 4 antenatal care visits (%),71.7,64.9
Mothers whose last birth was protected against neonatal tetanus (%),78.0,92.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.6,19.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),43.9,3.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.9,100.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.1,74.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,278","1,787"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.5,na
Institutional births (%),97.8,96.1
Institutional births in public facility (%),96.7,96.1
Home births that were conducted by skilled health personnel (%),0.8,2.9
Births attended by skilled health personnel (%),98.6,98.0
Births delivered by caesarean section (%),11.5,4.6
Births in a private health facility that were delivered by caesarean section (%),*,*
Births in a public health facility that were delivered by caesarean section (%),10.7,4.8
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(64.2),(45.5)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(94.1),*
Children age 12-23 months who have received BCG (%),(80.4),(61.1)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(69.1),(56.8)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(71.9),(55.9)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(67.3),(46.9)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(20.7),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(3.1),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(68.6),(44.4)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),94.9,79.2
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),(100.0)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),(0.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.7,5.1
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.8,1.4
