Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Female population age 6 years and above who ever attended school (%),75.5,61.2,65.6,62.0
Population below age 15 years (%),21.3,22.6,22.2,23.7
"Sex ratio of the total population (females per 1,000 males)","1,024","1,055","1,045","1,021"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",877,957,934,914
Children under age 5 years whose birth was registered with the civil authority (%),93.8,91.6,92.2,82.7
Deaths in the last 3 years registered with the civil authority (%),89.4,76.6,80.2,na
Population living in households with electricity (%),99.6,99.4,99.5,99.2
Population living in households with an improved drinking-water source (%),99.4,95.4,96.7,95.6
Population living in households that use an improved sanitation facility(%),89.1,72.1,77.3,54.4
Households using clean fuel for cooking (%),96.6,77.9,83.6,62.0
Households using iodized salt (%),89.3,80.4,83.1,81.6
Households with any usual member covered under a health insurance/financing scheme (%),62.2,73.7,70.2,74.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.2,9.8,9.9,na
Women who are literate (%),79.0,63.8,68.6,na
Men who are literate (%),86.4,76.3,79.5,na
Women with 10 or more years of schooling (%),51.2,34.3,39.6,34.3
Men with 10 or more years of schooling (%),59.5,42.5,47.9,51.3
Women who have ever used the internet (%),33.9,15.4,21.0,na
Men who have ever used the internet (%),65.1,41.5,48.8,na
Women age 20-24 years married before age 18 years (%),21.7,32.9,29.3,33.0
Men age 25-29 years married before age 21 years (%),13.1,15.2,14.5,15.8
Total fertility rate (children per woman),1.5,1.8,1.7,1.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.3,14.1,12.6,11.8
Adolescent fertility rate for women age 15-19 years,40,80,67,83
Neonatal mortality rate (NNMR),14.4,22.1,19.9,23.6
Infant mortality rate (IMR),29.8,30.4,30.3,34.9
Under-five mortality rate (U5MR),33.7,35.8,35.2,40.8
Any method (%),70.8,71.2,71.1,69.5
Any modern method (%),70.3,71.1,70.8,69.4
Female sterilization (%),68.3,70.2,69.6,68.3
Male sterilization (%),0.6,0.4,0.4,0.6
IUD/PPIUD (%),0.2,0.1,0.2,0.2
Pill (%),0.1,0.1,0.1,0.2
Condom (%),0.9,0.3,0.5,0.2
Injectables (%),0.0,0.0,0.0,0.0
Total unmet need(%),5.2,4.4,4.7,4.7
Unmet need for spacing (%),2.3,2.8,2.6,3.1
