District,Agency,Households,Women,Men
Anantapur,Sigma Research and Consulting Pvt. Ltd,882,868,146
Chittoor,Sigma Research and Consulting Pvt. Ltd,865,828,121
East Godavari,Sigma Research and Consulting Pvt. Ltd,888,824,105
Guntur,Sigma Research and Consulting Pvt. Ltd,851,807,93
Krishna,Sigma Research and Consulting Pvt. Ltd,865,820,119
Kurnool,Sigma Research and Consulting Pvt. Ltd,870,908,139
Prakasam,Sigma Research and Consulting Pvt. Ltd,821,689,95
Sri Potti Sriramulu Nellore,Sigma Research and Consulting Pvt. Ltd,865,922,132
Srikakulam,Sigma Research and Consulting Pvt. Ltd,874,780,100
Visakhapatnam,Sigma Research and Consulting Pvt. Ltd,869,818,112
Vizianagaram,Sigma Research and Consulting Pvt. Ltd,902,853,134
West Godavari,Sigma Research and Consulting Pvt. Ltd,884,841,122
Y.S.R.,Sigma Research and Consulting Pvt. Ltd,910,1017,140
