,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),67.9,60.6
1,Population below age 15 years (%),20.8,22.9
2,"Sex ratio of the total population (females per 1,000 males)","1,049","1,039"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,011","1,156"
4,Children under age 5 years whose birth was registered with the civil authority (%),88.1,80.7
5,Deaths in the last 3 years registered with the civil authority (%),84.8,na
6,Population living in households with electricity (%),99.1,98.2
7,Population living in households with an improved drinking-water source (%),95.6,95.2
8,Population living in households that use an improved sanitation facility(%),81.8,54.3
9,Households using clean fuel for cooking (%),84.6,57.1
10,Households using iodized salt (%),85.6,82.2
11,Households with any usual member covered under a health insurance/financing scheme (%),72.3,73.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.6,na
13,Women who are literate (%),70.5,na
14,Women with 10 or more years of schooling (%),38.7,32.7
15,Women age 20-24 years married before age 18 years (%),23.8,38.7
16,Births in the 5 years preceding the survey that are third or higher order (%),3.4,2.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),14.9,11.8
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),84.0,63.1
19,Any method (%),71.9,71.0
20,Any modern method (%),71.7,71.0
21,Female sterilization (%),71.4,70.7
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),0.0,0.2
24,Pill (%),0.0,0.0
25,Condom (%),0.3,0.0
26,Injectables (%),0.0,0.0
27,Total unmet need(%),3.1,3.2
28,Unmet need for spacing (%),2.3,1.8
29,Health worker ever talked to female non-users about family planning (%),19.7,19.3
30,Current users ever told about side effects of current method (%),21.7,22.6
31,Mothers who had an antenatal check-up in the first trimester (%),89.0,87.7
32,Mothers who had at least 4 antenatal care visits (%),73.0,85.8
33,Mothers whose last birth was protected against neonatal tetanus (%),94.2,95.5
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),76.1,67.3
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),51.8,30.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.8,92.5
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.5,83.2
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,104","(2,536)"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),94.3,na
41,Institutional births (%),97.0,96.0
42,Institutional births in public facility (%),34.9,26.3
43,Home births that were conducted by skilled health personnel (%),3.0,2.8
44,Births attended by skilled health personnel (%),100.0,98.4
45,Births delivered by caesarean section (%),42.3,51.3
46,Births in a private health facility that were delivered by caesarean section (%),57.5,57.9
47,Births in a public health facility that were delivered by caesarean section (%),18.8,41.7
