,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),60.0,58.4
1,Population below age 15 years (%),20.7,22.2
2,"Sex ratio of the total population (females per 1,000 males)","1,140","1,028"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,163",933
4,Children under age 5 years whose birth was registered with the civil authority (%),95.0,89.3
5,Deaths in the last 3 years registered with the civil authority (%),71.0,na
6,Population living in households with electricity (%),99.9,98.3
7,Population living in households with an improved drinking-water source (%),87.7,82.0
8,Population living in households that use an improved sanitation facility(%),71.6,33.3
9,Households using clean fuel for cooking (%),74.7,38.0
10,Households using iodized salt (%),76.5,80.0
11,Households with any usual member covered under a health insurance/financing scheme (%),75.6,82.2
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(0.0),na
13,Women who are literate (%),64.3,na
14,Women with 10 or more years of schooling (%),42.5,34.7
15,Women age 20-24 years married before age 18 years (%),25.4,23.5
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0,1.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.5,11.7
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),78.0,64.3
19,Any method (%),72.3,67.7
20,Any modern method (%),72.2,67.5
21,Female sterilization (%),71.0,66.1
22,Male sterilization (%),0.3,0.7
23,IUD/PPIUD (%),0.6,0.2
24,Pill (%),0.0,0.0
25,Condom (%),0.3,0.3
26,Injectables (%),0.0,0.0
27,Total unmet need(%),5.7,6.7
28,Unmet need for spacing (%),3.6,5.0
29,Health worker ever talked to female non-users about family planning (%),16.0,15.7
30,Current users ever told about side effects of current method (%),45.8,17.9
31,Mothers who had an antenatal check-up in the first trimester (%),79.7,82.2
32,Mothers who had at least 4 antenatal care visits (%),78.4,72.7
33,Mothers whose last birth was protected against neonatal tetanus (%),94.4,99.4
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),67.5,65.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),35.3,37.7
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,96.9
37,days of delivery (%),90.8,89.5
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,479","3,402"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),97.7,na
41,Institutional births (%),97.9,91.2
42,Institutional births in public facility (%),52.2,42.3
43,Home births that were conducted by skilled health personnel (%),0.5,6.4
44,Births attended by skilled health personnel (%),96.4,97.6
45,Births delivered by caesarean section (%),57.0,41.4
46,Births in a private health facility that were delivered by caesarean section (%),73.8,55.5
47,Births in a public health facility that were delivered by caesarean section (%),44.5,33.7
48,mother's recall (%),(82.8),(59.2)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(100.0),(84.4)
50,Children age 12-23 months who have received BCG (%),(93.3),(100.0)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(82.8),(68.4)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(89.7),(88.5)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(93.3),(88.9)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(34.9),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(74.8),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(89.7),(66.1)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.6,93.5
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.0),(100.0)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(3.0),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.9,5.9
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.3,0.4
65,health provider (%),(79.7),(88.1)
66,Children under age 3 years breastfed within one hour of birth (%),42.8,27.5
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),(14.0),4.9
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),16.1,3.8
72,Children under 5 years who are stunted (height-for-age) (%),19.7,28.0
73,Children under 5 years who are wasted (weight-for-height) (%),19.5,15.6
74,Children under 5 years who are severely wasted (weight-for-height) (%),7.4,3.9
75,Children under 5 years who are underweight (weight-for-age) (%),21.4,28.7
76,Children under 5 years who are overweight (weight-for-height) (%),4.5,1.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),13.8,20.5
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),27.2,24.4
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),54.0,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),59.6,70.6
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),62.8,72.1
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,*
