Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),75.4,68.5
Population below age 15 years (%),21.5,23.0
"Sex ratio of the total population (females per 1,000 males)",999,"1,020"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",833,834
Children under age 5 years whose birth was registered with the civil authority (%),93.5,87.3
Deaths in the last 3 years registered with the civil authority (%),90.1,na
Population living in households with electricity (%),99.3,99.0
Population living in households with an improved drinking-water source (%),99.1,97.5
Population living in households that use an improved sanitation facility(%),80.8,63.1
Households using clean fuel for cooking (%),86.8,62.3
Households using iodized salt (%),83.4,85.1
Households with any usual member covered under a health insurance/financing scheme (%),67.6,79.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(2.7),na
Women who are literate (%),77.0,na
Women with 10 or more years of schooling (%),46.5,35.8
Women age 20-24 years married before age 18 years (%),22.1,30.1
Births in the 5 years preceding the survey that are third or higher order (%),0.5,2.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),13.4,7.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),84.4,59.8
Any method (%),77.8,76.7
Any modern method (%),77.2,76.7
Female sterilization (%),74.5,75.7
Male sterilization (%),0.7,0.0
IUD/PPIUD (%),0.6,0.5
Pill (%),0.4,0.2
Condom (%),0.6,0.2
Injectables (%),0.4,0.0
Total unmet need(%),3.0,3.4
Unmet need for spacing (%),1.8,1.8
Health worker ever talked to female non-users about family planning (%),12.5,8.9
Current users ever told about side effects of current method (%),28.8,22.6
Mothers who had an antenatal check-up in the first trimester (%),82.2,84.5
Mothers who had at least 4 antenatal care visits (%),62.7,71.5
Mothers whose last birth was protected against neonatal tetanus (%),95.3,89.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),82.8,44.8
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),43.7,23.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,92.1
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),94.8,86.3
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,318","(3,354)"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),96.4,na
Institutional births (%),98.7,97.2
Institutional births in public facility (%),48.8,27.3
Home births that were conducted by skilled health personnel (%),0.7,1.1
Births attended by skilled health personnel (%),98.5,93.3
Births delivered by caesarean section (%),55.7,60.8
Births in a private health facility that were delivered by caesarean section (%),72.0,71.7
Births in a public health facility that were delivered by caesarean section (%),40.4,(38.9)
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(80.0),(77.7)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.0),*
Children age 12-23 months who have received BCG (%),(94.8),(97.0)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(80.0),(77.7)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(89.0),(97.0)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(91.7),(94.2)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(26.3),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(77.7),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(89.0),(68.6)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),73.9,80.5
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),(85.2)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),(14.8)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.7,6.6
