Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),61.5,62.7
Population below age 15 years (%),23.2,31.5
"Sex ratio of the total population (females per 1,000 males)",939,910
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",957,"1,147"
Children under age 5 years whose birth was registered with the civil authority (%),94.4,74.5
Deaths in the last 3 years registered with the civil authority (%),(34.6),na
Population living in households with electricity (%),96.4,90.0
Population living in households with an improved drinking-water source (%),86.6,86.5
Population living in households that use an improved sanitation facility(%),86.8,43.8
Households using clean fuel for cooking (%),29.0,24.7
Households using iodized salt (%),99.6,98.6
Households with any usual member covered under a health insurance/financing scheme (%),17.5,75.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),2.5,na
Women who are literate (%),66.4,na
Women with 10 or more years of schooling (%),28.8,26.1
Women age 20-24 years married before age 18 years (%),21.8,26.4
Births in the 5 years preceding the survey that are third or higher order (%),1.5,1.3
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.1,13.1
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),89.0,77.8
Any method (%),64.7,24.5
Any modern method (%),50.9,23.7
Female sterilization (%),21.2,7.8
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),8.6,3.3
Pill (%),15.9,10.4
Condom (%),2.9,2.1
Injectables (%),1.1,0.2
Total unmet need(%),6.8,24.9
Unmet need for spacing (%),4.7,14.7
Health worker ever talked to female non-users about family planning (%),29.6,23.0
Current users ever told about side effects of current method (%),79.0,43.3
Mothers who had an antenatal check-up in the first trimester (%),52.0,28.8
Mothers who had at least 4 antenatal care visits (%),32.3,20.2
Mothers whose last birth was protected against neonatal tetanus (%),80.2,73.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),16.5,4.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),1.2,1.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.9,81.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),55.8,21.3
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,515","3,876"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(2.3),2.6
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),57.3,na
Institutional births (%),78.0,51.4
Institutional births in public facility (%),76.9,45.8
Home births that were conducted by skilled health personnel (%),2.0,6.8
Births attended by skilled health personnel (%),79.0,57.9
Births delivered by caesarean section (%),12.6,4.8
Births in a private health facility that were delivered by caesarean section (%),*,*
Births in a public health facility that were delivered by caesarean section (%),16.0,5.3
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),(93.0),35.8
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(90.5),(52.6)
Children age 12-23 months who have received BCG (%),(97.7),75.4
Children age 12-23 months who have received 3 doses of polio vaccine (%),(97.6),51.5
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(95.3),52.8
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(97.6),56.8
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(39.5),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(35.7),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(85.6),40.2
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),58.6,56.0
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),(100.0)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),(0.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.3,10.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(93.4)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(72.3)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(24.5)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.1,2.2
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,*
Children under age 3 years breastfed within one hour of birth (%),66.5,53.9
Children under age 6 months exclusively breastfed (%),*,*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),28.7,(16.7)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),25.4,23.9
Children under 5 years who are stunted (height-for-age) (%),23.6,21.0
Children under 5 years who are wasted (weight-for-height) (%),14.3,18.3
Children under 5 years who are severely wasted (weight-for-height) (%),7.5,10.1
Children under 5 years who are underweight (weight-for-age) (%),16.0,10.4
Children under 5 years who are overweight (weight-for-height) (%),2.9,4.9
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),2.4,4.2
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),22.8,18.9
Women who have high risk waist-to-hip ratio (≥0.85) (%),66.9,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),57.1,61.6
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),36.9,34.8
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),19.7,(31.8)
All women age 15-49 years who are anaemic (%),35.9,34.6
All women age 15-19 years who are anaemic (%),42.2,42.2
Women - Blood sugar level - high (141-160 mg/dl)(%),4.0,na
Women - Blood sugar level - very high (>160 mg/dl)(%),8.7,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.0,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.4,na
Men - Blood sugar level - very high (>160 mg/dl) (%),10.7,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.3,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),21.8,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.6,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),31.1,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),30.2,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),11.8,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),42.6,na
Ever undergone a screening test for cervical cancer (%),0.9,na
Ever undergone a breast examination for breast cancer (%),0.6,na
Ever undergone an oral cavity examination for oral cancer (%),0.2,na
Women age 15 years and above who use any kind of tobacco (%),22.1,na
Men age 15 years and above who use any kind of tobacco (%),66.1,na
Women age 15 years and above who consume alcohol (%),31.6,na
Men age 15 years and above who consume alcohol (%),68.4,na
