,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),74.6,66.6
2,Population below age 15 years (%),28.7,33.3
3,"Sex ratio of the total population (females per 1,000 males)",963,965
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,019",990
5,Children under age 5 years whose birth was registered with the civil authority (%),97.6,86.2
6,Deaths in the last 3 years registered with the civil authority (%),56.5,na
7,Population living in households with electricity (%),95.2,77.3
8,Population living in households with an improved drinking-water source (%),81.8,68.3
9,Population living in households that use an improved sanitation facility(%),82.3,56.1
10,Households using clean fuel for cooking (%),34.1,26.5
11,Households using iodized salt (%),99.2,99.6
12,Households with any usual member covered under a health insurance/financing scheme (%),40.5,56.5
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.4,na
15,Women who are literate (%),74.0,na
16,Women with 10 or more years of schooling (%),30.5,22.4
18,Women age 20-24 years married before age 18 years (%),16.8,19.2
19,Births in the 5 years preceding the survey that are third or higher order (%),1.2,2.3
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.0,8.8
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),89.1,79.5
23,Any method (%),71.4,62.6
24,Any modern method (%),46.3,47.7
25,Female sterilization (%),15.1,22.4
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),1.6,2.9
28,Pill (%),27.5,20.2
29,Condom (%),1.8,2.2
30,Injectables (%),0.0,0.2
32,Total unmet need(%),6.7,10.7
33,Unmet need for spacing (%),3.5,5.6
35,Health worker ever talked to female non-users about family planning (%),20.9,18.1
36,Current users ever told about side effects of current method (%),88.6,58.4
38,Mothers who had an antenatal check-up in the first trimester (%),65.0,48.2
39,Mothers who had at least 4 antenatal care visits (%),46.9,38.9
40,Mothers whose last birth was protected against neonatal tetanus (%),88.1,83.8
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),37.3,11.1
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),14.1,0.9
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.3,92.9
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),69.7,44.9
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,643","3,386"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),3.8,0.8
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),67.4,na
51,Institutional births (%),75.1,51.5
52,Institutional births in public facility (%),69.3,41.4
53,Home births that were conducted by skilled health personnel (%),6.3,1.1
54,Births attended by skilled health personnel (%),81.3,52.4
55,Births delivered by caesarean section (%),12.4,9.2
56,Births in a private health facility that were delivered by caesarean section (%),*,(68.7)
57,Births in a public health facility that were delivered by caesarean section (%),14.9,5.5
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),70.9,(79.5)
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(86.1),(83.1)
62,Children age 12-23 months who have received BCG (%),86.1,(93.8)
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),70.9,(79.5)
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),84.4,(83.7)
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),84.4,(83.7)
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),19.2,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),44.5,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),84.4,(73.2)
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),77.9,27.3
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(90.8),(97.8)
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),(2.2)
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.3,3.3
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8,4.2
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,29.7
