Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),58.1
Population below age 15 years (%),33.5
"Sex ratio of the total population (females per 1,000 males)",976
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",867
Children under age 5 years whose birth was registered with the civil authority (%),92.7
Deaths in the last 3 years registered with the civil authority (%),(30.7)
Population living in households with electricity (%),99.7
Population living in households with an improved drinking-water source (%),99.8
Population living in households that use an improved sanitation facility(%),89.3
Households using clean fuel for cooking (%),78.3
Households using iodized salt (%),99.2
Households with any usual member covered under a health insurance/financing scheme (%),24.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0
Women who are literate (%),53.5
Women with 10 or more years of schooling (%),27.4
Women age 20-24 years married before age 18 years (%),24.8
Births in the 5 years preceding the survey that are third or higher order (%),0.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),89.6
Any method (%),46.1
Any modern method (%),39.9
Female sterilization (%),16.7
Male sterilization (%),0.0
IUD/PPIUD (%),5.7
Pill (%),13.4
Condom (%),1.4
Injectables (%),0.6
Total unmet need(%),16.5
Unmet need for spacing (%),13.1
Health worker ever talked to female non-users about family planning (%),19.5
Current users ever told about side effects of current method (%),48.1
Mothers who had an antenatal check-up in the first trimester (%),62.5
Mothers who had at least 4 antenatal care visits (%),18.3
Mothers whose last birth was protected against neonatal tetanus (%),55.1
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),12.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),9.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.7
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),34.9
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"20,101"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(5.2)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),37.3
Institutional births (%),73.5
Institutional births in public facility (%),69.4
Home births that were conducted by skilled health personnel (%),7.7
Births attended by skilled health personnel (%),81.0
Births delivered by caesarean section (%),18.9
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),25.3
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(63.6)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(70.3)
Children age 12-23 months who have received BCG (%),(92.2)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(63.6)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(71.3)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(77.1)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(22.5)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(45.1)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(71.3)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.1
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.0
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.8
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*
Children under age 3 years breastfed within one hour of birth (%),35.9
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),(19.1)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),14.6
Children under 5 years who are stunted (height-for-age) (%),28.8
Children under 5 years who are wasted (weight-for-height) (%),9.4
Children under 5 years who are severely wasted (weight-for-height) (%),5.7
Children under 5 years who are underweight (weight-for-age) (%),14.5
Children under 5 years who are overweight (weight-for-height) (%),20.2
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),2.0
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),29.8
Women who have high risk waist-to-hip ratio (≥0.85) (%),80.9
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),62.0
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),24.3
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(2.0)
All women age 15-49 years who are anaemic (%),22.6
All women age 15-19 years who are anaemic (%),37.2
Women - Blood sugar level - high (141-160 mg/dl)(%),2.7
Women - Blood sugar level - very high (>160 mg/dl)(%),0.9
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),4.1
Men - Blood sugar level - high (141-160 mg/dl)(%),5.2
Men - Blood sugar level - very high (>160 mg/dl) (%),0.5
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),5.7
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.7
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.6
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),19.4
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.7
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.5
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),26.1
Ever undergone a screening test for cervical cancer (%),0.0
Ever undergone a breast examination for breast cancer (%),0.3
Ever undergone an oral cavity examination for oral cancer (%),0.6
