,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),58.1
1,Population below age 15 years (%),33.5
2,"Sex ratio of the total population (females per 1,000 males)",976
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",867
4,Children under age 5 years whose birth was registered with the civil authority (%),92.7
5,Deaths in the last 3 years registered with the civil authority (%),(30.7)
6,Population living in households with electricity (%),99.7
7,Population living in households with an improved drinking-water source (%),99.8
8,Population living in households that use an improved sanitation facility(%),89.3
9,Households using clean fuel for cooking (%),78.3
10,Households using iodized salt (%),99.2
11,Households with any usual member covered under a health insurance/financing scheme (%),24.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0
13,Women who are literate (%),53.5
14,Women with 10 or more years of schooling (%),27.4
15,Women age 20-24 years married before age 18 years (%),24.8
16,Births in the 5 years preceding the survey that are third or higher order (%),0.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.9
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),89.6
19,Any method (%),46.1
20,Any modern method (%),39.9
21,Female sterilization (%),16.7
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),5.7
24,Pill (%),13.4
25,Condom (%),1.4
26,Injectables (%),0.6
27,Total unmet need(%),16.5
28,Unmet need for spacing (%),13.1
29,Health worker ever talked to female non-users about family planning (%),19.5
30,Current users ever told about side effects of current method (%),48.1
31,Mothers who had an antenatal check-up in the first trimester (%),62.5
32,Mothers who had at least 4 antenatal care visits (%),18.3
33,Mothers whose last birth was protected against neonatal tetanus (%),55.1
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),12.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),9.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.7
37,delivery (%),34.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"20,101"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(5.2)
40,delivery (%),37.3
41,Institutional births (%),73.5
42,Institutional births in public facility (%),69.4
43,Home births that were conducted by skilled health personnel (%),7.7
44,Births attended by skilled health personnel (%),81.0
45,Births delivered by caesarean section (%),18.9
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),25.3
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(63.6)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(70.3)
50,Children age 12-23 months who have received BCG (%),(92.2)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(63.6)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(71.3)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(77.1)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(22.5)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(45.1)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(71.3)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.1
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.0
