,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),76.8,66.3
1,Population below age 15 years (%),24.5,32.0
2,"Sex ratio of the total population (females per 1,000 males)","1,010",955
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",884,801
4,Children under age 5 years whose birth was registered with the civil authority (%),92.6,67.6
5,Deaths in the last 3 years registered with the civil authority (%),53.6,na
6,Population living in households with electricity (%),84.4,72.0
7,Population living in households with an improved drinking-water source (%),99.5,95.7
8,Population living in households that use an improved sanitation facility(%),89.9,69.0
9,Households using clean fuel for cooking (%),57.4,41.7
10,Households using iodized salt (%),98.7,99.0
11,Households with any usual member covered under a health insurance/financing scheme (%),36.8,59.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),2.0,na
13,Women who are literate (%),80.0,na
14,Women with 10 or more years of schooling (%),51.9,27.8
15,Women age 20-24 years married before age 18 years (%),13.8,28.1
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0,1.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.6,6.9
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.0,69.2
19,Any method (%),75.3,31.0
20,Any modern method (%),56.4,28.2
21,Female sterilization (%),28.4,9.7
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),12.2,6.6
24,Pill (%),3.9,10.4
25,Condom (%),8.3,0.6
26,Injectables (%),0.4,0.9
27,Total unmet need(%),4.9,17.2
28,Unmet need for spacing (%),4.6,10.3
29,Health worker ever talked to female non-users about family planning (%),21.4,10.7
30,Current users ever told about side effects of current method (%),94.8,49.3
31,Mothers who had an antenatal check-up in the first trimester (%),56.3,27.6
32,Mothers who had at least 4 antenatal care visits (%),48.6,23.5
33,Mothers whose last birth was protected against neonatal tetanus (%),87.5,64.5
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),25.8,10.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),3.3,0.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.2,94.2
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),58.6,24.0
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,112","5,052"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,0.0
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),58.4,na
41,Institutional births (%),90.1,58.8
42,Institutional births in public facility (%),86.8,53.5
43,Home births that were conducted by skilled health personnel (%),3.6,0.7
44,Births attended by skilled health personnel (%),93.7,58.9
45,Births delivered by caesarean section (%),11.0,5.2
46,Births in a private health facility that were delivered by caesarean section (%),*,*
47,Births in a public health facility that were delivered by caesarean section (%),10.7,4.4
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),73.8,37.3
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),81.0,*
50,Children age 12-23 months who have received BCG (%),89.2,74.4
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),77.8,62.6
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),77.0,53.0
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),84.4,57.2
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),31.4,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),41.7,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),79.2,30.1
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),67.1,54.8
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,(97.1)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,(2.9)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.8,4.4
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.0,1.2
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,*
66,Children under age 3 years breastfed within one hour of birth (%),59.8,45.4
67,Children under age 6 months exclusively breastfed (%),(60.1),(74.1)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),29.5,12.5
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet (%),23.9,15.0
72,Children under 5 years who are stunted (height-for-age) (%),14.3,22.3
