,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),73.1,63.0
1,Population below age 15 years (%),22.0,28.1
2,"Sex ratio of the total population (females per 1,000 males)","1,016","1,010"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,370",995
4,Children under age 5 years whose birth was registered with the civil authority (%),90.0,55.2
5,Deaths in the last 3 years registered with the civil authority (%),30.3,na
6,Population living in households with electricity (%),97.8,98.7
7,Population living in households with an improved drinking-water source (%),98.1,97.9
8,Population living in households that use an improved sanitation facility(%),82.8,73.8
9,Households using clean fuel for cooking (%),60.8,64.5
10,Households using iodized salt (%),99.5,99.6
11,Households with any usual member covered under a health insurance/financing scheme (%),24.5,66.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(18.2),na
13,Women who are literate (%),73.4,na
14,Women with 10 or more years of schooling (%),49.9,35.5
15,Women age 20-24 years married before age 18 years (%),16.0,13.7
16,Births in the 5 years preceding the survey that are third or higher order (%),1.5,2.2
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.0,8.9
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.4,80.8
19,Any method (%),65.9,10.6
20,Any modern method (%),58.0,10.0
21,Female sterilization (%),25.0,4.8
22,Male sterilization (%),0.1,0.0
23,IUD/PPIUD (%),8.9,1.5
24,Pill (%),11.8,3.1
25,Condom (%),9.8,0.6
26,Injectables (%),1.4,0.0
27,Total unmet need(%),8.5,22.8
28,Unmet need for spacing (%),2.3,12.3
29,Health worker ever talked to female non-users about family planning (%),12.4,8.6
30,Current users ever told about side effects of current method (%),66.4,*
31,Mothers who had an antenatal check-up in the first trimester (%),53.4,33.3
32,Mothers who had at least 4 antenatal care visits (%),39.1,22.4
33,Mothers whose last birth was protected against neonatal tetanus (%),82.3,43.5
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),15.2,9.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),5.3,3.1
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.3,86.1
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),67.7,17.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"10,266","(6,049)"
