District,Agency,Households,Women,Men
Anjaw,Ipsos Research Pvt. Ltd,932,828,125
Changlang,Ipsos Research Pvt. Ltd,981,1168,189
Dibang Valley,Ipsos Research Pvt. Ltd,925,868,134
East Kameng,Ipsos Research Pvt. Ltd,940,1002,130
East Siang,Ipsos Research Pvt. Ltd,976,1157,161
Kra Daadi,Ipsos Research Pvt. Ltd,516,524,75
Kurung Kumey,Ipsos Research Pvt. Ltd,542,650,63
Lohit,Ipsos Research Pvt. Ltd,964,1129,193
Longding,Ipsos Research Pvt. Ltd,946,935,149
Lower Dibang Valley,Ipsos Research Pvt. Ltd,968,1090,173
Lower Subansiri,Ipsos Research Pvt. Ltd,986,1094,167
Namsai,Ipsos Research Pvt. Ltd,989,1156,171
Papum Pare,Ipsos Research Pvt. Ltd,950,1017,142
Siang,Ipsos Research Pvt. Ltd,960,1106,154
Tawang,Ipsos Research Pvt. Ltd,905,924,137
Tirap,Ipsos Research Pvt. Ltd,961,934,138
Upper Siang,Ipsos Research Pvt. Ltd,935,901,133
Upper Subansiri,Ipsos Research Pvt. Ltd,988,1092,147
West Kameng,Ipsos Research Pvt. Ltd,959,1122,167
West Siang,Ipsos Research Pvt. Ltd,945,1068,133
