Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),69.0
Population below age 15 years (%),26.8
"Sex ratio of the total population (females per 1,000 males)",964
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",865
Children under age 5 years whose birth was registered with the civil authority (%),91.1
Deaths in the last 3 years registered with the civil authority (%),(64.8)
Population living in households with electricity (%),98.8
Population living in households with an improved drinking-water source (%),93.8
Population living in households that use an improved sanitation facility(%),86.7
Households using clean fuel for cooking (%),50.4
Households using iodized salt (%),98.3
Households with any usual member covered under a health insurance/financing scheme (%),30.8
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.7
Women who are literate (%),72.8
Women with 10 or more years of schooling (%),40.2
Women age 20-24 years married before age 18 years (%),12.0
Births in the 5 years preceding the survey that are third or higher order (%),0.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),88.4
Any method (%),56.1
Any modern method (%),39.4
Female sterilization (%),17.1
Male sterilization (%),0.0
IUD/PPIUD (%),2.9
Pill (%),17.6
Condom (%),1.0
Injectables (%),0.3
Total unmet need(%),10.6
Unmet need for spacing (%),8.1
Health worker ever talked to female non-users about family planning (%),27.1
Current users ever told about side effects of current method (%),65.2
Mothers who had an antenatal check-up in the first trimester (%),59.3
Mothers who had at least 4 antenatal care visits (%),35.7
Mothers whose last birth was protected against neonatal tetanus (%),73.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),27.4
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),14.5
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),49.8
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"12,104"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),3.6
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),51.6
Institutional births (%),70.2
Institutional births in public facility (%),62.8
Home births that were conducted by skilled health personnel (%),4.6
Births attended by skilled health personnel (%),73.9
Births delivered by caesarean section (%),22.2
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),27.0
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),66.3
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(71.2)
Children age 12-23 months who have received BCG (%),82.8
Children age 12-23 months who have received 3 doses of polio vaccine (%),72.1
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),77.4
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),77.9
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),19.4
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),37.5
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),77.4
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.8
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(96.1)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(3.9)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.3
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*
Children under age 3 years breastfed within one hour of birth (%),72.0
Children under age 6 months exclusively breastfed (%),(49.3)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),16.7
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),16.8
Children under 5 years who are stunted (height-for-age) (%),38.6
Children under 5 years who are wasted (weight-for-height) (%),13.8
Children under 5 years who are severely wasted (weight-for-height) (%),7.3
