,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),69.5,66.7
1,Population below age 15 years (%),25.8,25.1
2,"Sex ratio of the total population (females per 1,000 males)",894,898
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",983,"1,038"
4,Children under age 5 years whose birth was registered with the civil authority (%),79.5,77.3
5,Deaths in the last 3 years registered with the civil authority (%),18.4,na
6,Population living in households with electricity (%),99.5,93.1
7,Population living in households with an improved drinking-water source (%),99.8,89.2
8,Population living in households that use an improved sanitation facility(%),91.8,56.9
9,Households using clean fuel for cooking (%),36.3,22.4
10,Households using iodized salt (%),99.1,98.6
11,Households with any usual member covered under a health insurance/financing scheme (%),34.6,72.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(6.7),na
13,Women who are literate (%),70.9,na
14,Women with 10 or more years of schooling (%),34.8,38.7
15,Women age 20-24 years married before age 18 years (%),17.1,18.8
16,Births in the 5 years preceding the survey that are third or higher order (%),2.0,0.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.1,2.3
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),91.5,81.4
19,Any method (%),62.0,38.9
20,Any modern method (%),54.0,38.2
21,Female sterilization (%),30.0,11.0
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),7.4,14.1
24,Pill (%),6.9,9.2
25,Condom (%),7.6,3.9
26,Injectables (%),0.6,0.0
27,Total unmet need(%),11.9,13.3
28,Unmet need for spacing (%),6.6,8.2
29,Health worker ever talked to female non-users about family planning (%),22.1,6.9
30,Current users ever told about side effects of current method (%),71.7,72.1
31,Mothers who had an antenatal check-up in the first trimester (%),54.5,41.6
32,Mothers who had at least 4 antenatal care visits (%),34.0,29.2
33,Mothers whose last birth was protected against neonatal tetanus (%),73.5,72.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),12.6,8.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),5.4,5.5
