,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),75.4,70.5
2,Population below age 15 years (%),30.1,33.3
3,"Sex ratio of the total population (females per 1,000 males)","1,027",982
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,007",906
5,Children under age 5 years whose birth was registered with the civil authority (%),96.0,96.9
6,Deaths in the last 3 years registered with the civil authority (%),74.3,na
7,Population living in households with electricity (%),88.9,72.7
8,Population living in households with an improved drinking-water source (%),98.1,98.5
9,Population living in households that use an improved sanitation facility(%),63.7,36.3
10,Households using clean fuel for cooking (%),38.7,22.6
11,Households using iodized salt (%),96.3,99.5
12,Households with any usual member covered under a health insurance/financing scheme (%),58.9,25.7
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),2.7,na
15,Women who are literate (%),74.8,na
16,Women with 10 or more years of schooling (%),31.7,23.9
18,Women age 20-24 years married before age 18 years (%),40.1,43.2
19,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.5
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),14.2,16.2
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),61.5,44.5
23,Any method (%),57.3,56.7
24,Any modern method (%),47.4,40.2
25,Female sterilization (%),5.5,3.5
26,Male sterilization (%),0.1,0.0
27,IUD/PPIUD (%),2.0,2.5
28,Pill (%),35.3,30.0
29,Condom (%),3.6,3.0
30,Injectables (%),0.7,0.1
32,Total unmet need(%),12.3,10.1
33,Unmet need for spacing (%),3.9,4.7
35,Health worker ever talked to female non-users about family planning (%),18.4,11.8
36,Current users ever told about side effects of current method (%),55.1,48.2
38,Mothers who had an antenatal check-up in the first trimester (%),62.2,64.3
39,Mothers who had at least 4 antenatal care visits (%),43.6,47.5
40,Mothers whose last birth was protected against neonatal tetanus (%),94.9,86.8
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),49.4,18.6
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.8,0.3
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.1,96.4
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),70.5,36.6
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,829","2,448"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(0.0),0.6
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.9,na
51,Institutional births (%),87.6,51.9
52,Institutional births in public facility (%),82.3,49.0
53,Home births that were conducted by skilled health personnel (%),0.6,12.3
54,Births attended by skilled health personnel (%),87.6,63.4
55,Births delivered by caesarean section (%),12.7,8.1
56,Births in a private health facility that were delivered by caesarean section (%),*,*
57,Births in a public health facility that were delivered by caesarean section (%),12.4,11.8
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),54.6,34.1
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),59.6,(61.0)
62,Children age 12-23 months who have received BCG (%),94.3,67.4
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),67.5,45.6
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),73.6,54.7
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.8,66.0
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),23.7,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),40.8,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),67.8,40.8
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),48.2,50.5
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.4,98.0
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.4,0.0
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.7,1.8
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.5,1.0
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(64.9),(55.4)
81,Children under age 3 years breastfed within one hour of birth (%),46.4,68.0
82,Children under age 6 months exclusively breastfed (%),(62.9),(56.7)
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),5.9,10.0
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet  (%),5.5,9.7
