,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),85.1,74.1
2,Population below age 15 years (%),27.7,31.6
3,"Sex ratio of the total population (females per 1,000 males)",959,969
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",908,953
5,Children under age 5 years whose birth was registered with the civil authority (%),95.0,84.2
6,Deaths in the last 3 years registered with the civil authority (%),(60.3),na
7,Population living in households with electricity (%),95.9,79.2
8,Population living in households with an improved drinking-water source (%),50.2,51.2
9,Population living in households that use an improved sanitation facility(%),83.8,61.1
10,Households using clean fuel for cooking (%),48.2,24.3
11,Households using iodized salt (%),99.4,100.0
12,Households with any usual member covered under a health insurance/financing scheme (%),61.9,5.4
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.5,na
15,Women who are literate (%),87.7,na
16,Women with 10 or more years of schooling (%),42.4,28.4
18,Women age 20-24 years married before age 18 years (%),16.5,20.2
19,Births in the 5 years preceding the survey that are third or higher order (%),0.7,2.4
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.4,9.1
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),79.1,61.3
23,Any method (%),65.5,48.7
24,Any modern method (%),44.9,29.7
25,Female sterilization (%),10.2,3.2
26,Male sterilization (%),0.2,0.0
27,IUD/PPIUD (%),4.0,2.7
28,Pill (%),27.0,21.7
29,Condom (%),3.1,1.4
30,Injectables (%),0.0,0.3
32,Total unmet need(%),9.7,18.4
33,Unmet need for spacing (%),2.6,5.8
35,Health worker ever talked to female non-users about family planning (%),18.3,10.8
36,Current users ever told about side effects of current method (%),66.6,37.9
38,Mothers who had an antenatal check-up in the first trimester (%),58.9,44.8
39,Mothers who had at least 4 antenatal care visits (%),46.9,35.1
40,Mothers whose last birth was protected against neonatal tetanus (%),96.8,85.9
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40.8,34.8
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),17.6,6.2
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.2,95.3
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.8,48.5
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,825","3,922"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,2.1
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),76.8,na
51,Institutional births (%),89.5,57.1
52,Institutional births in public facility (%),84.6,53.2
53,Home births that were conducted by skilled health personnel (%),1.8,3.4
54,Births attended by skilled health personnel (%),91.9,60.2
55,Births delivered by caesarean section (%),19.7,11.3
56,Births in a private health facility that were delivered by caesarean section (%),*,*
57,Births in a public health facility that were delivered by caesarean section (%),18.5,19.0
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(63.6),59.8
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(63.8),(81.4)
62,Children age 12-23 months who have received BCG (%),(91.3),91.4
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),(73.6),69.2
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(71.9),78.0
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(71.7),86.3
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(15.9),na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(46.1),na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(69.9),61.1
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),63.3,48.2
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(98.1),96.1
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),1.2
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.0,2.6
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.7,2.7
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(39.9),(57.5)
