,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),85.1,74.1
1,Population below age 15 years (%),27.7,31.6
2,"Sex ratio of the total population (females per 1,000 males)",959,969
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",908,953
4,Children under age 5 years whose birth was registered with the civil authority (%),95.0,84.2
5,Deaths in the last 3 years registered with the civil authority (%),(60.3),na
6,Population living in households with electricity (%),95.9,79.2
7,Population living in households with an improved drinking-water source (%),50.2,51.2
8,Population living in households that use an improved sanitation facility(%),83.8,61.1
9,Households using clean fuel for cooking (%),48.2,24.3
10,Households using iodized salt (%),99.4,100.0
11,Households with any usual member covered under a health insurance/financing scheme (%),61.9,5.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.5,na
13,Women who are literate (%),87.7,na
14,Women with 10 or more years of schooling (%),42.4,28.4
15,Women age 20-24 years married before age 18 years (%),16.5,20.2
16,Births in the 5 years preceding the survey that are third or higher order (%),0.7,2.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.4,9.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),79.1,61.3
19,Any method (%),65.5,48.7
20,Any modern method (%),44.9,29.7
21,Female sterilization (%),10.2,3.2
22,Male sterilization (%),0.2,0.0
23,IUD/PPIUD (%),4.0,2.7
24,Pill (%),27.0,21.7
25,Condom (%),3.1,1.4
26,Injectables (%),0.0,0.3
27,Total unmet need(%),9.7,18.4
28,Unmet need for spacing (%),2.6,5.8
29,Health worker ever talked to female non-users about family planning (%),18.3,10.8
30,Current users ever told about side effects of current method (%),66.6,37.9
31,Mothers who had an antenatal check-up in the first trimester (%),58.9,44.8
32,Mothers who had at least 4 antenatal care visits (%),46.9,35.1
33,Mothers whose last birth was protected against neonatal tetanus (%),96.8,85.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40.8,34.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),17.6,6.2
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.2,95.3
37,days of delivery (%),73.8,48.5
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,825","3,922"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,2.1
40,days of delivery (%),76.8,na
41,Institutional births (%),89.5,57.1
42,Institutional births in public facility (%),84.6,53.2
43,Home births that were conducted by skilled health personnel (%),1.8,3.4
44,Births attended by skilled health personnel (%),91.9,60.2
45,Births delivered by caesarean section (%),19.7,11.3
46,Births in a private health facility that were delivered by caesarean section (%),*,*
47,Births in a public health facility that were delivered by caesarean section (%),18.5,19.0
48,mother's recall (%),(63.6),59.8
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(63.8),(81.4)
50,Children age 12-23 months who have received BCG (%),(91.3),91.4
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(73.6),69.2
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(71.9),78.0
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(71.7),86.3
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(15.9),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(46.1),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(69.9),61.1
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),63.3,48.2
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(98.1),96.1
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),1.2
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.0,2.6
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.7,2.7
65,provider (%),(39.9),(57.5)
66,Children under age 3 years breastfed within one hour of birth (%),58.0,60.9
67,Children under age 6 months exclusively breastfed (%),*,(75.4)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),9.3,5.9
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),8.7,6.6
72,Children under 5 years who are stunted (height-for-age) (%),30.6,34.7
73,Children under 5 years who are wasted (weight-for-height) (%),23.6,6.3
74,Children under 5 years who are severely wasted (weight-for-height) (%),11.3,1.3
75,Children under 5 years who are underweight (weight-for-age) (%),21.7,18.2
76,Children under 5 years who are overweight (weight-for-height) (%),12.5,1.5
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.0,16.2
