,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),78.5,73.4
1,Population below age 15 years (%),30.0,34.0
2,"Sex ratio of the total population (females per 1,000 males)","1,007",986
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,027",851
4,Children under age 5 years whose birth was registered with the civil authority (%),98.8,95.0
5,Deaths in the last 3 years registered with the civil authority (%),73.3,na
6,Population living in households with electricity (%),89.6,69.8
7,Population living in households with an improved drinking-water source (%),90.7,87.2
8,Population living in households that use an improved sanitation facility(%),75.3,47.5
9,Households using clean fuel for cooking (%),36.3,21.3
10,Households using iodized salt (%),99.1,99.6
11,Households with any usual member covered under a health insurance/financing scheme (%),71.1,11.8
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),2.2,na
13,Women who are literate (%),74.1,na
14,Women with 10 or more years of schooling (%),23.4,22.6
15,Women age 20-24 years married before age 18 years (%),41.8,35.8
16,Births in the 5 years preceding the survey that are third or higher order (%),0.3,0.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),13.3,27.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),64.5,33.5
19,Any method (%),66.8,43.7
20,Any modern method (%),55.1,33.9
21,Female sterilization (%),6.0,2.8
22,Male sterilization (%),0.1,0.0
23,IUD/PPIUD (%),3.2,2.1
24,Pill (%),40.1,26.1
25,Condom (%),3.6,1.8
26,Injectables (%),1.4,0.0
27,Total unmet need(%),7.4,17.7
28,Unmet need for spacing (%),2.2,8.3
29,Health worker ever talked to female non-users about family planning (%),19.3,17.8
30,Current users ever told about side effects of current method (%),68.1,53.5
31,Mothers who had an antenatal check-up in the first trimester (%),65.3,57.5
32,Mothers who had at least 4 antenatal care visits (%),44.1,42.1
33,Mothers whose last birth was protected against neonatal tetanus (%),96.6,83.4
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),52.2,31.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),20.4,6.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6,97.2
37,days of delivery (%),73.5,58.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,407","3,195"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,2.3
40,days of delivery (%),80.0,na
41,Institutional births (%),92.3,71.2
42,Institutional births in public facility (%),87.2,66.0
43,Home births that were conducted by skilled health personnel (%),2.7,6.5
44,Births attended by skilled health personnel (%),94.2,77.2
45,Births delivered by caesarean section (%),16.2,9.9
46,Births in a private health facility that were delivered by caesarean section (%),*,*
47,Births in a public health facility that were delivered by caesarean section (%),13.4,8.7
48,mother's recall (%),70.3,43.7
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),72.7,(68.9)
50,Children age 12-23 months who have received BCG (%),98.4,83.0
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),71.9,53.1
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.6,64.4
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.6,71.9
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),16.3,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),52.0,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.3,51.2
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),57.8,65.4
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,97.2
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.4
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.8,2.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(84.2),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(27.8),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(51.1),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.1,1.5
65,provider (%),50.9,(46.9)
66,Children under age 3 years breastfed within one hour of birth (%),45.7,80.5
67,Children under age 6 months exclusively breastfed (%),*,(59.6)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),8.0,12.3
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),7.5,12.7
72,Children under 5 years who are stunted (height-for-age) (%),38.9,42.7
73,Children under 5 years who are wasted (weight-for-height) (%),24.3,22.1
74,Children under 5 years who are severely wasted (weight-for-height) (%),14.3,8.9
75,Children under 5 years who are underweight (weight-for-age) (%),35.4,39.5
76,Children under 5 years who are overweight (weight-for-height) (%),5.4,2.6
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),12.2,24.2
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.3,11.6
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),68.3,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),60.7,36.0
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),65.5,49.0
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(49.2),(65.8)
83,All women age 15-49 years who are anaemic (%),64.9,49.7
84,All women age 15-19 years who are anaemic (%),66.9,49.7
85,Blood sugar level - high (141-160 mg/dl)(%),6.0,na
86,Blood sugar level - very high (>160 mg/dl)(%),3.0,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.2,na
88,Blood sugar level - high (141-160 mg/dl)(%),7.7,na
89,Blood sugar level - very high (>160 mg/dl) (%),3.8,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.2,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.1,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.3,na
93,blood pressure (%),16.8,na
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.5,na
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.5,na
96,blood pressure (%),17.9,na
97,  Ever undergone a screening test for cervical cancer (%),0.2,na
98,  Ever undergone a breast examination for breast cancer (%),0.2,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
100,Women age 15 years and above who use any kind of tobacco (%),15.6,na
101,Men age 15 years and above who use any kind of tobacco (%),52.0,na
102,Women age 15 years and above who consume alcohol (%),5.0,na
103,Men age 15 years and above who consume alcohol (%),16.2,na
