Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),76.4
Population below age 15 years (%),29.9
"Sex ratio of the total population (females per 1,000 males)",994
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",882
Children under age 5 years whose birth was registered with the civil authority (%),93.0
Deaths in the last 3 years registered with the civil authority (%),60.7
Population living in households with electricity (%),97.0
Population living in households with an improved drinking-water source (%),79.6
Population living in households that use an improved sanitation facility(%),75.2
Households using clean fuel for cooking (%),33.4
Households using iodized salt (%),99.8
Households with any usual member covered under a health insurance/financing scheme (%),54.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.6
Women who are literate (%),78.8
Women with 10 or more years of schooling (%),30.3
Women age 20-24 years married before age 18 years (%),26.1
Births in the 5 years preceding the survey that are third or higher order (%),0.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.1
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),77.6
Any method (%),66.3
Any modern method (%),41.1
Female sterilization (%),9.3
Male sterilization (%),0.0
IUD/PPIUD (%),6.2
Pill (%),23.6
Condom (%),1.8
Injectables (%),0.0
Total unmet need(%),9.3
Unmet need for spacing (%),2.4
Health worker ever talked to female non-users about family planning (%),23.6
Current users ever told about side effects of current method (%),74.6
Mothers who had an antenatal check-up in the first trimester (%),64.8
Mothers who had at least 4 antenatal care visits (%),63.9
Mothers whose last birth was protected against neonatal tetanus (%),90.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),35.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),9.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),56.9
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,822"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.4
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),61.0
Institutional births (%),74.9
Institutional births in public facility (%),69.2
Home births that were conducted by skilled health personnel (%),3.4
Births attended by skilled health personnel (%),78.3
Births delivered by caesarean section (%),15.2
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),16.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),64.3
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(74.3)
Children age 12-23 months who have received BCG (%),88.7
Children age 12-23 months who have received 3 doses of polio vaccine (%),65.9
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),75.3
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),76.2
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),4.9
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),42.9
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),66.9
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),44.9
Children age 12-23 months who received most of their vaccinations in a public health facility (%),91.4
Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.6
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.2
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.2
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(55.3)
Children under age 3 years breastfed within one hour of birth (%),50.3
Children under age 6 months exclusively breastfed (%),(55.2)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),20.5
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),18.1
Children under 5 years who are stunted (height-for-age) (%),31.6
Children under 5 years who are wasted (weight-for-height) (%),17.2
Children under 5 years who are severely wasted (weight-for-height) (%),8.7
Children under 5 years who are underweight (weight-for-age) (%),28.2
Children under 5 years who are overweight (weight-for-height) (%),4.3
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.0
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.7
Women who have high risk waist-to-hip ratio (≥0.85) (%),59.3
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),59.5
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(42.1)
All women age 15-49 years who are anaemic (%),59.0
All women age 15-19 years who are anaemic (%),57.5
Women - Blood sugar level - high (141-160 mg/dl)(%),6.5
Women - Blood sugar level - very high (>160 mg/dl)(%),3.2
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.7
Men - Blood sugar level - high (141-160 mg/dl)(%),8.5
Men - Blood sugar level - very high (>160 mg/dl) (%),4.8
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.6
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.9
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.5
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.1
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.0
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.6
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.8
  Ever undergone a screening test for cervical cancer (%),0.0
  Ever undergone a breast examination for breast cancer (%),0.0
Ever undergone an oral cavity examination for oral cancer (%),0.2
Women age 15 years and above who use any kind of tobacco (%),20.5
Men age 15 years and above who use any kind of tobacco (%),55.0
Women age 15 years and above who consume alcohol (%),20.5
Men age 15 years and above who consume alcohol (%),48.5
