Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),78.4
Population below age 15 years (%),26.2
"Sex ratio of the total population (females per 1,000 males)",995
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",754
Children under age 5 years whose birth was registered with the civil authority (%),98.1
Deaths in the last 3 years registered with the civil authority (%),59.3
Population living in households with electricity (%),93.5
Population living in households with an improved drinking-water source (%),98.6
Population living in households that use an improved sanitation facility(%),65.6
Households using clean fuel for cooking (%),19.3
Households using iodized salt (%),99.8
Households with any usual member covered under a health insurance/financing scheme (%),60.8
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),5.2
Women who are literate (%),83.4
Women with 10 or more years of schooling (%),41.7
Women age 20-24 years married before age 18 years (%),25.5
Births in the 5 years preceding the survey that are third or higher order (%),1.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.4
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.4
Any method (%),63.7
Any modern method (%),31.3
Female sterilization (%),12.2
Male sterilization (%),0.0
IUD/PPIUD (%),3.4
Pill (%),13.6
Condom (%),1.2
Injectables (%),0.4
Total unmet need(%),11.6
Unmet need for spacing (%),4.7
Health worker ever talked to female non-users about family planning (%),25.1
Current users ever told about side effects of current method (%),85.6
Mothers who had an antenatal check-up in the first trimester (%),76.1
Mothers who had at least 4 antenatal care visits (%),72.2
Mothers whose last birth was protected against neonatal tetanus (%),97.2
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),13.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.5
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,227"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.5
Institutional births (%),90.3
Institutional births in public facility (%),85.8
Home births that were conducted by skilled health personnel (%),3.2
Births attended by skilled health personnel (%),93.5
Births delivered by caesarean section (%),22.5
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),21.9
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),78.6
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),83.9
Children age 12-23 months who have received BCG (%),95.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),84.3
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),86.4
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.9
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),17.9
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),55.6
