District,Agency,Households,Women,Men
Baksa,Nielsen India Pvt. Ltd,921,1175,156
Barpeta,Nielsen India Pvt. Ltd,914,1163,159
Biswanath,Nielsen India Pvt. Ltd,901,1000,135
Bongaigaon,Nielsen India Pvt. Ltd,916,1092,169
Cachar,Nielsen India Pvt. Ltd,907,1110,152
Charaideo,Nielsen India Pvt. Ltd,922,1117,166
Chirang,Nielsen India Pvt. Ltd,912,1076,148
Darrang,Nielsen India Pvt. Ltd,918,1053,176
Dhemaji,Nielsen India Pvt. Ltd,918,989,148
Dhubri,Nielsen India Pvt. Ltd,912,1017,128
Dibrugarh,Nielsen India Pvt. Ltd,920,1086,161
Dima Hasao,Nielsen India Pvt. Ltd,918,1001,149
Goalpara,Nielsen India Pvt. Ltd,917,1158,164
Golaghat,Nielsen India Pvt. Ltd,919,1028,129
Hailakandi,Nielsen India Pvt. Ltd,905,1057,130
Hojai,Nielsen India Pvt. Ltd,896,1027,148
Jorhat,Nielsen India Pvt. Ltd,917,1019,148
Kamrup Metropolitan,Nielsen India Pvt. Ltd,903,926,165
Kamrup,Nielsen India Pvt. Ltd,894,1021,138
Karbi Anglong,Nielsen India Pvt. Ltd,919,1042,156
Karimganj,Nielsen India Pvt. Ltd,917,1170,160
Kokrajhar,Nielsen India Pvt. Ltd,897,1052,144
Lakhimpur,Nielsen India Pvt. Ltd,916,957,140
Majuli,Nielsen India Pvt. Ltd,921,1052,146
Morigaon,Nielsen India Pvt. Ltd,915,1071,136
Nagaon,Nielsen India Pvt. Ltd,922,1122,169
Nalbari,Nielsen India Pvt. Ltd,886,1011,145
Sivasagar,Nielsen India Pvt. Ltd,919,1020,146
Sonitpur,Nielsen India Pvt. Ltd,909,1067,148
South Salmara Mancachar,Nielsen India Pvt. Ltd,912,1085,162
Tinsukia,Nielsen India Pvt. Ltd,919,1062,155
Udalguri,Nielsen India Pvt. Ltd,916,1088,151
West Karbi Anglong,Nielsen India Pvt. Ltd,921,1065,146
