Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),69.4
Population below age 15 years (%),36.7
"Sex ratio of the total population (females per 1,000 males)",968
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",911
Children under age 5 years whose birth was registered with the civil authority (%),97.6
Deaths in the last 3 years registered with the civil authority (%),71.1
Population living in households with electricity (%),79.5
Population living in households with an improved drinking-water source (%),98.2
Population living in households that use an improved sanitation facility(%),59.0
Households using clean fuel for cooking (%),28.5
Households using iodized salt (%),98.9
Households with any usual member covered under a health insurance/financing scheme (%),68.2
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.9
Women who are literate (%),63.5
Women with 10 or more years of schooling (%),20.9
Women age 20-24 years married before age 18 years (%),44.7
Births in the 5 years preceding the survey that are third or higher order (%),0.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),22.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),60.6
Any method (%),71.5
Any modern method (%),60.8
Female sterilization (%),1.1
Male sterilization (%),0.0
IUD/PPIUD (%),2.9
Pill (%),53.0
Condom (%),2.5
Injectables (%),0.6
Total unmet need(%),8.0
Unmet need for spacing (%),1.7
Health worker ever talked to female non-users about family planning (%),26.7
Current users ever told about side effects of current method (%),71.8
Mothers who had an antenatal check-up in the first trimester (%),60.1
Mothers who had at least 4 antenatal care visits (%),35.3
Mothers whose last birth was protected against neonatal tetanus (%),93.0
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),47.4
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),18.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),62.6
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,092"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.5
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),56.1
Institutional births (%),71.7
Institutional births in public facility (%),69.9
Home births that were conducted by skilled health personnel (%),8.1
Births attended by skilled health personnel (%),79.4
Births delivered by caesarean section (%),5.0
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),5.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),65.8
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),66.0
Children age 12-23 months who have received BCG (%),97.0
Children age 12-23 months who have received 3 doses of polio vaccine (%),74.1
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),81.9
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),85.3
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),6.6
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),47.1
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),73.7
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),65.8
Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),60.9
Children under age 3 years breastfed within one hour of birth (%),50.4
Children under age 6 months exclusively breastfed (%),(66.3)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),7.9
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),7.1
Children under 5 years who are stunted (height-for-age) (%),38.9
Children under 5 years who are wasted (weight-for-height) (%),18.2
Children under 5 years who are severely wasted (weight-for-height) (%),7.1
Children under 5 years who are underweight (weight-for-age) (%),27.9
Children under 5 years who are overweight (weight-for-height) (%),5.9
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.9
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),8.5
Women who have high risk waist-to-hip ratio (≥0.85) (%),76.2
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),69.6
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.2
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),37.6
All women age 15-49 years who are anaemic (%),57.1
All women age 15-19 years who are anaemic (%),64.5
Women - Blood sugar level - high (141-160 mg/dl)(%),5.3
Women - Blood sugar level - very high (>160 mg/dl)(%),2.8
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.7
Men - Blood sugar level - high (141-160 mg/dl)(%),7.1
Men - Blood sugar level - very high (>160 mg/dl) (%),4.5
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.0
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.3
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.1
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),15.5
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.6
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.6
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),16.5
  Ever undergone a screening test for cervical cancer (%),0.0
  Ever undergone a breast examination for breast cancer (%),0.3
