Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),73.8
Population below age 15 years (%),31.7
"Sex ratio of the total population (females per 1,000 males)",959
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,105"
Children under age 5 years whose birth was registered with the civil authority (%),95.4
Deaths in the last 3 years registered with the civil authority (%),43.5
Population living in households with electricity (%),94.7
Population living in households with an improved drinking-water source (%),44.7
Population living in households that use an improved sanitation facility(%),76.7
Households using clean fuel for cooking (%),17.7
Households using iodized salt (%),98.9
Households with any usual member covered under a health insurance/financing scheme (%),63.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.7
Women who are literate (%),73.9
Women with 10 or more years of schooling (%),21.7
Women age 20-24 years married before age 18 years (%),21.3
Births in the 5 years preceding the survey that are third or higher order (%),1.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),77.3
Any method (%),69.9
Any modern method (%),43.3
Female sterilization (%),7.8
Male sterilization (%),0.0
IUD/PPIUD (%),3.9
Pill (%),26.8
Condom (%),4.4
Injectables (%),0.1
Total unmet need(%),7.1
Unmet need for spacing (%),3.2
Health worker ever talked to female non-users about family planning (%),23.0
Current users ever told about side effects of current method (%),80.5
Mothers who had an antenatal check-up in the first trimester (%),55.5
Mothers who had at least 4 antenatal care visits (%),46.7
Mothers whose last birth was protected against neonatal tetanus (%),87.6
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),39.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),10.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),55.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,597"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.3
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),60.5
Institutional births (%),72.5
Institutional births in public facility (%),68.9
Home births that were conducted by skilled health personnel (%),12.0
Births attended by skilled health personnel (%),84.5
Births delivered by caesarean section (%),6.4
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),6.0
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),47.9
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),54.5
Children age 12-23 months who have received BCG (%),92.7
Children age 12-23 months who have received 3 doses of polio vaccine (%),52.9
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),70.3
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),66.6
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),3.3
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),50.5
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),65.7
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),42.1
Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.8
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),50.7
Children under age 3 years breastfed within one hour of birth (%),56.2
Children under age 6 months exclusively breastfed (%),(75.6)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),14.5
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),12.8
Children under 5 years who are stunted (height-for-age) (%),40.9
Children under 5 years who are wasted (weight-for-height) (%),23.2
Children under 5 years who are severely wasted (weight-for-height) (%),12.7
Children under 5 years who are underweight (weight-for-age) (%),31.1
Children under 5 years who are overweight (weight-for-height) (%),3.9
