,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),53.0,52.5
1,Population below age 15 years (%),40.5,42.7
2,"Sex ratio of the total population (females per 1,000 males)","1,094","1,110"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",885,969
4,Children under age 5 years whose birth was registered with the civil authority (%),59.8,50.5
5,Deaths in the last 3 years registered with the civil authority (%),25.5,na
6,Population living in households with electricity (%),96.2,49.9
7,Population living in households with an improved drinking-water source (%),100.0,99.8
8,Population living in households that use an improved sanitation facility(%),32.2,13.8
9,Households using clean fuel for cooking (%),15.2,5.2
10,Households using iodized salt (%),93.7,95.3
11,Households with any usual member covered under a health insurance/financing scheme (%),19.5,5.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.8,na
13,Women who are literate (%),43.7,na
14,Women with 10 or more years of schooling (%),16.8,12.9
15,Women age 20-24 years married before age 18 years (%),52.0,48.9
16,Births in the 5 years preceding the survey that are third or higher order (%),6.8,6.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),13.3,11.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),36.4,17.2
19,Any method (%),46.0,29.9
20,Any modern method (%),42.8,29.1
21,Female sterilization (%),36.2,26.2
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),0.1,0.2
24,Pill (%),0.9,1.3
25,Condom (%),1.7,0.8
26,Injectables (%),3.2,0.4
27,Total unmet need(%),15.9,19.3
28,Unmet need for spacing (%),6.4,9.0
29,Health worker ever talked to female non-users about family planning (%),11.0,20.0
30,Current users ever told about side effects of current method (%),33.9,36.9
31,Mothers who had an antenatal check-up in the first trimester (%),41.6,36.9
32,Mothers who had at least 4 antenatal care visits (%),25.8,16.2
33,Mothers whose last birth was protected against neonatal tetanus (%),86.4,88.7
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),17.6,7.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.6,1.7
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),90.6,78.8
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),46.4,43.2
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,606","2,425"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),2.6,3.0
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),48.2,na
41,Institutional births (%),66.2,51.6
42,Institutional births in public facility (%),51.5,44.0
43,Home births that were conducted by skilled health personnel (%),6.5,11.0
44,Births attended by skilled health personnel (%),70.3,61.9
45,Births delivered by caesarean section (%),9.2,5.5
46,Births in a private health facility that were delivered by caesarean section (%),45.2,55.0
47,Births in a public health facility that were delivered by caesarean section (%),4.9,3.1
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),61.6,53.9
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),71.1,75.6
50,Children age 12-23 months who have received BCG (%),90.0,89.6
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),67.3,66.2
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),77.4,75.9
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.0,72.6
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),32.3,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),74.2,61.9
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),57.1,64.3
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),94.7,92.5
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.6,5.8
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),16.3,14.4
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),50.5,47.2
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),9.2,17.4
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),65.9,48.7
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),6.0,3.8
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),57.9,51.9
66,Children under age 3 years breastfed within one hour of birth (%),30.6,29.6
67,Children under age 6 months exclusively breastfed (%),69.0,51.2
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(35.9),(30.9)
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),13.1,11.9
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(10.7),*
71,Total children age 6-23 months receiving an adequate diet  (%),12.8,10.7
72,Children under 5 years who are stunted (height-for-age) (%),49.9,48.4
73,Children under 5 years who are wasted (weight-for-height) (%),23.9,22.8
74,Children under 5 years who are severely wasted (weight-for-height) (%),5.2,7.2
75,Children under 5 years who are underweight (weight-for-age) (%),47.8,45.4
76,Children under 5 years who are overweight (weight-for-height) (%),3.0,0.5
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),30.4,38.3
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),9.9,6.2
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),57.2,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),75.8,61.8
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),67.7,66.3
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),70.5,58.4
83,All women age 15-49 years who are anaemic (%),67.9,65.6
84,All women age 15-19 years who are anaemic (%),64.0,63.1
85,Women - Blood sugar level - high (141-160 mg/dl)(%),6.9,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),6.4,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.6,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),10.1,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),7.8,na
