,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),59.3,52.6
2,Population below age 15 years (%),36.1,38.9
3,"Sex ratio of the total population (females per 1,000 males)","1,083","1,006"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",991,766
5,Children under age 5 years whose birth was registered with the civil authority (%),73.8,80.8
6,Deaths in the last 3 years registered with the civil authority (%),32.8,na
7,Population living in households with electricity (%),96.2,47.6
8,Population living in households with an improved drinking-water source (%),96.3,92.7
9,Population living in households that use an improved sanitation facility(%),38.2,15.8
10,Households using clean fuel for cooking (%),32.3,9.3
11,Households using iodized salt (%),90.1,89.7
12,Households with any usual member covered under a health insurance/financing scheme (%),13.6,16.0
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),23.7,na
15,Women who are literate (%),55.7,na
16,Women with 10 or more years of schooling (%),22.6,17.4
18,Women age 20-24 years married before age 18 years (%),49.4,48.0
19,Births in the 5 years preceding the survey that are third or higher order (%),2.4,3.4
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),19.2,10.6
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),62.8,27.7
23,Any method (%),71.5,26.9
24,Any modern method (%),55.7,25.8
25,Female sterilization (%),44.7,24.3
26,Male sterilization (%),0.2,0.0
27,IUD/PPIUD (%),0.7,0.5
28,Pill (%),2.1,0.3
29,Condom (%),4.7,0.5
30,Injectables (%),0.4,0.1
32,Total unmet need(%),9.7,18.9
33,Unmet need for spacing (%),4.8,8.2
35,Health worker ever talked to female non-users about family planning (%),21.7,11.8
36,Current users ever told about side effects of current method (%),50.0,28.1
38,Mothers who had an antenatal check-up in the first trimester (%),70.7,40.9
39,Mothers who had at least 4 antenatal care visits (%),31.7,16.8
40,Mothers whose last birth was protected against neonatal tetanus (%),93.6,95.9
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),24.5,17.0
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),14.7,0.9
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),84.0,80.6
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),72.3,45.4
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"8,076","1,132"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,0.0
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),74.7,na
51,Institutional births (%),79.8,70.7
52,Institutional births in public facility (%),68.0,54.7
53,Home births that were conducted by skilled health personnel (%),3.8,4.5
54,Births attended by skilled health personnel (%),80.4,73.0
55,Births delivered by caesarean section (%),7.5,4.6
56,Births in a private health facility that were delivered by caesarean section (%),38.8,20.1
57,Births in a public health facility that were delivered by caesarean section (%),4.3,2.4
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),88.1,64.9
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),89.5,77.9
62,Children age 12-23 months who have received BCG (%),98.1,97.0
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),90.2,76.1
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92.9,80.2
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),95.0,86.7
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),42.3,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),2.2,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),93.8,64.5
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),42.8,62.3
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),99.1,99.1
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.9,0.9
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.9,7.3
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(63.8),(58.7)
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(41.4),(29.3)
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(62.5),(64.0)
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.3,2.3
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),72.6,48.7
