Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),65.1,59.7
Population below age 15 years (%),35.1,38.2
"Sex ratio of the total population (females per 1,000 males)",986,"1,015"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",879,916
Children under age 5 years whose birth was registered with the civil authority (%),74.1,78.7
Deaths in the last 3 years registered with the civil authority (%),26.4,na
Population living in households with electricity (%),94.5,69.7
Population living in households with an improved drinking-water source (%),98.0,98.4
Population living in households that use an improved sanitation facility(%),60.9,33.9
Households using clean fuel for cooking (%),49.2,23.2
Households using iodized salt (%),85.2,89.7
Households with any usual member covered under a health insurance/financing scheme (%),16.3,23.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),17.4,na
Women who are literate (%),65.6,na
Women with 10 or more years of schooling (%),35.1,26.4
Women age 20-24 years married before age 18 years (%),42.4,29.7
Births in the 5 years preceding the survey that are third or higher order (%),3.4,5.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),14.3,8.2
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.6,45.3
Any method (%),57.4,24.6
Any modern method (%),46.8,22.9
Female sterilization (%),31.9,20.7
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),0.0,0.6
Pill (%),3.4,0.2
Condom (%),9.1,1.0
Injectables (%),1.6,0.3
Total unmet need(%),12.8,19.3
Unmet need for spacing (%),6.5,9.6
Health worker ever talked to female non-users about family planning (%),31.2,8.6
Current users ever told about side effects of current method (%),39.9,22.6
Mothers who had an antenatal check-up in the first trimester (%),53.3,43.4
Mothers who had at least 4 antenatal care visits (%),27.6,20.1
Mothers whose last birth was protected against neonatal tetanus (%),89.9,93.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),28.0,17.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),16.8,2.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),85.4,84.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),54.0,51.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,975","1,060"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.9,1.5
