Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),53.1,53.0
Population below age 15 years (%),37.0,39.0
"Sex ratio of the total population (females per 1,000 males)","1,090","1,036"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",986,900
Children under age 5 years whose birth was registered with the civil authority (%),68.4,53.0
Deaths in the last 3 years registered with the civil authority (%),37.4,na
Population living in households with electricity (%),97.9,63.4
Population living in households with an improved drinking-water source (%),90.5,80.2
Population living in households that use an improved sanitation facility(%),37.6,15.7
Households using clean fuel for cooking (%),40.2,9.2
Households using iodized salt (%),91.0,92.8
Households with any usual member covered under a health insurance/financing scheme (%),14.3,2.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),30.8,na
Women who are literate (%),48.7,na
Women with 10 or more years of schooling (%),20.6,16.5
Women age 20-24 years married before age 18 years (%),51.9,60.2
Births in the 5 years preceding the survey that are third or higher order (%),2.9,3.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),15.4,14.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),63.1,29.3
Any method (%),69.6,23.7
Any modern method (%),47.7,23.2
Female sterilization (%),36.8,21.4
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),0.9,0.3
Pill (%),1.9,0.9
Condom (%),5.3,0.4
Injectables (%),0.2,0.3
Total unmet need(%),9.5,22.1
Unmet need for spacing (%),5.0,9.8
Health worker ever talked to female non-users about family planning (%),18.4,20.9
Current users ever told about side effects of current method (%),64.4,54.5
Mothers who had an antenatal check-up in the first trimester (%),73.8,36.4
Mothers who had at least 4 antenatal care visits (%),37.9,10.4
Mothers whose last birth was protected against neonatal tetanus (%),95.2,88.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),27.8,12.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),11.7,1.5
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),87.8,80.2
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),66.7,40.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,290","1,215"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.9,1.1
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),69.8,na
Institutional births (%),73.4,59.4
Institutional births in public facility (%),53.3,44.6
Home births that were conducted by skilled health personnel (%),4.0,6.5
Births attended by skilled health personnel (%),72.7,65.3
Births delivered by caesarean section (%),7.5,4.9
Births in a private health facility that were delivered by caesarean section (%),31.2,25.2
Births in a public health facility that were delivered by caesarean section (%),2.3,2.6
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),66.4,55.5
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),80.2,74.3
Children age 12-23 months who have received BCG (%),97.5,83.8
Children age 12-23 months who have received 3 doses of polio vaccine (%),68.2,63.3
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),77.4,71.7
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),85.7,69.3
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.9,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),76.7,63.6
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),30.2,51.8
Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.9,95.1
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.9,4.9
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.1,5.5
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(53.2)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(25.6)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(41.6)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.9,0.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),63.7,56.2
Children under age 3 years breastfed within one hour of birth (%),36.8,34.4
Children under age 6 months exclusively breastfed (%),63.9,40.2
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(50.8),(26.8)
Breastfeeding children age 6-23 months receiving an adequate diet  (%),3.3,4.6
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(4.0)
Total children age 6-23 months receiving an adequate diet  (%),3.3,4.5
Children under 5 years who are stunted (height-for-age) (%),43.0,45.9
Children under 5 years who are wasted (weight-for-height) (%),19.4,29.4
Children under 5 years who are severely wasted (weight-for-height) (%),8.8,10.9
Children under 5 years who are underweight (weight-for-age) (%),37.5,47.2
Children under 5 years who are overweight (weight-for-height) (%),1.7,1.3
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),31.0,37.5
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),12.7,7.0
Women who have high risk waist-to-hip ratio (≥0.85) (%),61.9,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),81.9,61.3
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),76.2,63.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),60.6,48.0
All women age 15-49 years who are anaemic (%),75.2,61.9
All women age 15-19 years who are anaemic (%),75.9,64.6
Women - Blood sugar level - high (141-160 mg/dl)(%),5.4,na
Women - Blood sugar level - very high (>160 mg/dl)(%),5.4,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.1,na
Men - Blood sugar level - high (141-160 mg/dl)(%),8.2,na
Men - Blood sugar level - very high (>160 mg/dl) (%),6.3,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.1,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),7.3,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.1,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),12.6,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.3,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.0,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),14.8,na
  Ever undergone a screening test for cervical cancer (%),0.0,na
  Ever undergone a breast examination for breast cancer (%),0.0,na
Ever undergone an oral cavity examination for oral cancer (%),0.0,na
