,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),57.5,51.5
1,Population below age 15 years (%),39.0,41.2
2,"Sex ratio of the total population (females per 1,000 males)","1,053","1,039"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",888,860
4,Children under age 5 years whose birth was registered with the civil authority (%),80.9,62.4
5,Deaths in the last 3 years registered with the civil authority (%),36.6,na
6,Population living in households with electricity (%),92.0,33.0
7,Population living in households with an improved drinking-water source (%),99.2,99.5
8,Population living in households that use an improved sanitation facility(%),44.6,22.7
9,Households using clean fuel for cooking (%),16.9,10.0
10,Households using iodized salt (%),96.7,97.9
11,Households with any usual member covered under a health insurance/financing scheme (%),8.4,15.7
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.8,na
13,Women who are literate (%),49.7,na
14,Women with 10 or more years of schooling (%),19.8,15.2
15,Women age 20-24 years married before age 18 years (%),49.4,39.2
16,Births in the 5 years preceding the survey that are third or higher order (%),4.4,4.7
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),16.1,14.3
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),49.5,29.5
19,Any method (%),33.8,26.6
20,Any modern method (%),26.4,26.6
21,Female sterilization (%),18.4,24.9
22,Male sterilization (%),0.1,0.0
23,IUD/PPIUD (%),0.5,0.5
24,Pill (%),3.4,0.2
25,Condom (%),1.7,1.0
26,Injectables (%),1.3,0.0
27,Total unmet need(%),22.4,22.3
28,Unmet need for spacing (%),9.2,9.4
29,Health worker ever talked to female non-users about family planning (%),22.6,11.3
30,Current users ever told about side effects of current method (%),57.5,36.0
31,Mothers who had an antenatal check-up in the first trimester (%),40.9,33.3
32,Mothers who had at least 4 antenatal care visits (%),15.3,8.9
33,Mothers whose last birth was protected against neonatal tetanus (%),84.4,92.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),16.2,6.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.4,0.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),91.7,73.8
37,days of delivery (%),41.7,40.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,333","1,139"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.6,1.2
40,days of delivery (%),44.3,na
41,Institutional births (%),66.9,51.8
42,Institutional births in public facility (%),59.9,44.5
43,Home births that were conducted by skilled health personnel (%),9.3,5.8
44,Births attended by skilled health personnel (%),73.8,57.2
45,Births delivered by caesarean section (%),4.0,3.2
46,Births in a private health facility that were delivered by caesarean section (%),(37.8),(38.9)
47,Births in a public health facility that were delivered by caesarean section (%),2.3,0.8
48,mother's recall (%),73.7,71.2
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),82.6,79.5
50,Children age 12-23 months who have received BCG (%),93.2,96.5
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),79.1,79.7
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),84.1,85.6
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.9,86.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),26.1,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),3.1,na
