Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),60.6,53.7
Population below age 15 years (%),41.3,42.5
"Sex ratio of the total population (females per 1,000 males)","1,111","1,043"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",918,970
Children under age 5 years whose birth was registered with the civil authority (%),66.8,62.5
Deaths in the last 3 years registered with the civil authority (%),31.8,na
Population living in households with electricity (%),94.5,54.4
Population living in households with an improved drinking-water source (%),98.8,99.8
Population living in households that use an improved sanitation facility(%),65.0,31.2
Households using clean fuel for cooking (%),33.2,13.4
Households using iodized salt (%),88.0,97.2
Households with any usual member covered under a health insurance/financing scheme (%),15.6,7.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),7.2,na
Women who are literate (%),51.8,na
Women with 10 or more years of schooling (%),26.6,20.7
Women age 20-24 years married before age 18 years (%),44.9,50.4
Births in the 5 years preceding the survey that are third or higher order (%),6.0,6.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),15.1,16.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),50.5,30.5
Any method (%),40.9,28.3
Any modern method (%),34.9,27.6
Female sterilization (%),27.4,25.2
Male sterilization (%),0.1,0.0
IUD/PPIUD (%),0.2,0.4
Pill (%),1.7,0.6
Condom (%),2.8,0.7
Injectables (%),0.5,0.8
Total unmet need(%),15.4,22.1
Unmet need for spacing (%),9.5,12.0
Health worker ever talked to female non-users about family planning (%),14.4,10.9
Current users ever told about side effects of current method (%),56.2,31.7
Mothers who had an antenatal check-up in the first trimester (%),44.6,33.9
Mothers who had at least 4 antenatal care visits (%),17.4,13.2
Mothers whose last birth was protected against neonatal tetanus (%),83.9,90.6
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),15.8,6.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),3.5,0.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),89.5,84.7
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),54.2,55.8
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,327",946
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),7.3,3.3
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),52.2,na
Institutional births (%),74.2,71.2
Institutional births in public facility (%),64.0,61.1
Home births that were conducted by skilled health personnel (%),8.8,7.7
Births attended by skilled health personnel (%),82.3,77.1
Births delivered by caesarean section (%),4.4,3.1
Births in a private health facility that were delivered by caesarean section (%),38.0,24.8
Births in a public health facility that were delivered by caesarean section (%),0.8,0.9
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),64.7,65.9
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),84.3,79.5
Children age 12-23 months who have received BCG (%),97.1,97.5
Children age 12-23 months who have received 3 doses of polio vaccine (%),73.1,73.5
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.7,89.3
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),82.6,83.5
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),31.4,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),2.6,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),82.9,73.0
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),62.9,63.1
Children age 12-23 months who received most of their vaccinations in a public health facility (%),92.9,99.3
Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.6,0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),13.9,7.0
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),55.6,47.3
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),27.4,26.2
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),69.2,71.9
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,1.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),81.2,68.7
Children under age 3 years breastfed within one hour of birth (%),26.3,32.4
Children under age 6 months exclusively breastfed (%),48.2,48.4
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(34.5),(25.0)
Breastfeeding children age 6-23 months receiving an adequate diet  (%),16.5,6.2
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(15.6),(11.0)
Total children age 6-23 months receiving an adequate diet  (%),16.3,6.8
Children under 5 years who are stunted (height-for-age) (%),34.8,49.8
Children under 5 years who are wasted (weight-for-height) (%),25.3,17.0
Children under 5 years who are severely wasted (weight-for-height) (%),9.3,6.6
Children under 5 years who are underweight (weight-for-age) (%),36.4,42.4
Children under 5 years who are overweight (weight-for-height) (%),1.4,1.7
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),24.7,31.1
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),18.1,10.7
Women who have high risk waist-to-hip ratio (≥0.85) (%),56.5,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.1,63.4
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),59.1,60.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),62.9,56.2
All women age 15-49 years who are anaemic (%),59.5,59.8
All women age 15-19 years who are anaemic (%),65.1,63.4
Women - Blood sugar level - high (141-160 mg/dl)(%),8.4,na
Women - Blood sugar level - very high (>160 mg/dl)(%),7.8,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.1,na
Men - Blood sugar level - high (141-160 mg/dl)(%),9.8,na
Men - Blood sugar level - very high (>160 mg/dl) (%),10.8,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),21.7,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),7.5,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.3,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),13.0,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.4,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.1,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),16.1,na
  Ever undergone a screening test for cervical cancer (%),0.7,na
  Ever undergone a breast examination for breast cancer (%),0.2,na
Ever undergone an oral cavity examination for oral cancer (%),0.9,na
Women age 15 years and above who use any kind of tobacco (%),3.5,na
Men age 15 years and above who use any kind of tobacco (%),43.7,na
Women age 15 years and above who consume alcohol (%),0.1,na
Men age 15 years and above who consume alcohol (%),6.9,na
