Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),61.2,60.1
Population below age 15 years (%),37.8,39.1
"Sex ratio of the total population (females per 1,000 males)","1,074","1,013"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",886,934
Children under age 5 years whose birth was registered with the civil authority (%),74.8,51.6
Deaths in the last 3 years registered with the civil authority (%),37.4,na
Population living in households with electricity (%),98.0,81.9
Population living in households with an improved drinking-water source (%),96.6,94.5
Population living in households that use an improved sanitation facility(%),51.6,38.7
Households using clean fuel for cooking (%),42.6,14.7
Households using iodized salt (%),84.2,98.9
Households with any usual member covered under a health insurance/financing scheme (%),15.1,9.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),22.1,na
Women who are literate (%),57.9,na
Women with 10 or more years of schooling (%),30.0,25.3
Women age 20-24 years married before age 18 years (%),56.1,48.7
Births in the 5 years preceding the survey that are third or higher order (%),4.6,4.2
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),13.0,12.4
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),64.9,27.9
Any method (%),67.0,34.7
Any modern method (%),50.4,34.4
Female sterilization (%),37.0,30.5
Male sterilization (%),0.2,0.1
IUD/PPIUD (%),1.2,1.0
Pill (%),3.2,1.0
Condom (%),5.2,1.1
Injectables (%),0.6,0.6
Total unmet need(%),11.7,21.9
Unmet need for spacing (%),6.4,9.9
Health worker ever talked to female non-users about family planning (%),19.8,14.0
Current users ever told about side effects of current method (%),53.4,44.1
Mothers who had an antenatal check-up in the first trimester (%),66.1,37.3
Mothers who had at least 4 antenatal care visits (%),28.0,17.9
Mothers whose last birth was protected against neonatal tetanus (%),92.8,94.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),21.1,4.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.0,1.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),87.1,82.3
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),66.7,41.6
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"9,523","1,084"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),7.1,0.7
