,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),65.1,57.8
1,Population below age 15 years (%),34.9,37.4
2,"Sex ratio of the total population (females per 1,000 males)","1,097","1,059"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",685,930
4,Children under age 5 years whose birth was registered with the civil authority (%),82.2,60.0
5,Deaths in the last 3 years registered with the civil authority (%),38.3,na
6,Population living in households with electricity (%),96.6,73.7
7,Population living in households with an improved drinking-water source (%),99.9,99.9
8,Population living in households that use an improved sanitation facility(%),55.2,29.2
9,Households using clean fuel for cooking (%),41.5,21.9
10,Households using iodized salt (%),96.1,94.7
11,Households with any usual member covered under a health insurance/financing scheme (%),13.2,10.2
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.9,na
13,Women who are literate (%),63.0,na
14,Women with 10 or more years of schooling (%),33.8,23.6
15,Women age 20-24 years married before age 18 years (%),32.9,36.5
16,Births in the 5 years preceding the survey that are third or higher order (%),5.5,4.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.2,13.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),67.8,34.2
19,Any method (%),66.1,9.2
20,Any modern method (%),55.7,9.2
21,Female sterilization (%),45.0,8.5
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),0.9,0.1
24,Pill (%),2.3,0.3
25,Condom (%),4.7,0.2
26,Injectables (%),1.2,0.0
27,Total unmet need(%),12.1,19.2
28,Unmet need for spacing (%),6.0,9.4
29,Health worker ever talked to female non-users about family planning (%),20.8,5.4
30,Current users ever told about side effects of current method (%),57.9,(22.2)
31,Mothers who had an antenatal check-up in the first trimester (%),55.9,25.1
32,Mothers who had at least 4 antenatal care visits (%),28.2,10.9
33,Mothers whose last birth was protected against neonatal tetanus (%),93.8,90.2
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),13.7,4.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.1,2.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),84.1,85.4
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),55.9,23.6
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,663","2,104"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),4.6,0.9
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),55.9,na
41,Institutional births (%),72.5,62.3
42,Institutional births in public facility (%),51.3,41.9
43,Home births that were conducted by skilled health personnel (%),7.9,6.3
44,Births attended by skilled health personnel (%),78.2,65.6
45,Births delivered by caesarean section (%),10.5,7.4
46,Births in a private health facility that were delivered by caesarean section (%),40.3,28.6
47,Births in a public health facility that were delivered by caesarean section (%),3.9,3.7
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),74.9,55.0
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),83.7,71.8
50,Children age 12-23 months who have received BCG (%),99.1,90.1
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),75.9,68.8
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),88.5,75.8
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),91.9,79.1
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),34.4,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),1.1,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.4,58.6
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),57.8,59.2
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.0,93.2
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.0,6.8
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),14.6,16.0
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),66.3,29.9
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),27.9,7.6
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),61.6,54.7
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.3,4.7
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),80.3,55.6
66,Children under age 3 years breastfed within one hour of birth (%),29.7,36.7
67,Children under age 6 months exclusively breastfed (%),(71.9),(78.9)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(33.1)
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),16.3,8.5
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),17.2,7.8
72,Children under 5 years who are stunted (height-for-age) (%),42.6,47.9
73,Children under 5 years who are wasted (weight-for-height) (%),19.9,17.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),8.1,5.6
75,Children under 5 years who are underweight (weight-for-age) (%),34.7,42.3
76,Children under 5 years who are overweight (weight-for-height) (%),1.9,0.4
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),25.2,33.0
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),16.5,10.5
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),57.3,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),64.6,58.5
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.7,52.2
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),61.7,55.7
83,All women age 15-49 years who are anaemic (%),58.9,52.4
84,All women age 15-19 years who are anaemic (%),66.1,55.5
85,Women - Blood sugar level - high (141-160 mg/dl)(%),6.9,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),4.9,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.4,na
