Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),61.4,56.3
Population below age 15 years (%),33.4,38.7
"Sex ratio of the total population (females per 1,000 males)","1,099","1,169"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",865,983
Children under age 5 years whose birth was registered with the civil authority (%),65.9,51.0
Deaths in the last 3 years registered with the civil authority (%),38.6,na
Population living in households with electricity (%),97.4,56.9
Population living in households with an improved drinking-water source (%),99.3,98.5
Population living in households that use an improved sanitation facility(%),47.9,30.2
Households using clean fuel for cooking (%),40.7,21.0
Households using iodized salt (%),98.2,98.0
Households with any usual member covered under a health insurance/financing scheme (%),8.1,18.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),15.3,na
Women who are literate (%),62.1,na
Women with 10 or more years of schooling (%),37.3,26.4
Women age 20-24 years married before age 18 years (%),43.3,53.1
Births in the 5 years preceding the survey that are third or higher order (%),3.8,1.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.4,10.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),65.7,34.1
Any method (%),69.8,30.6
Any modern method (%),45.1,29.1
Female sterilization (%),30.8,26.1
Male sterilization (%),0.4,0.1
IUD/PPIUD (%),0.9,0.9
Pill (%),2.1,1.0
Condom (%),7.3,1.0
Injectables (%),1.3,0.0
Total unmet need(%),6.5,21.5
Unmet need for spacing (%),3.3,9.7
Health worker ever talked to female non-users about family planning (%),13.5,18.5
Current users ever told about side effects of current method (%),45.7,32.6
Mothers who had an antenatal check-up in the first trimester (%),69.5,43.9
Mothers who had at least 4 antenatal care visits (%),31.6,13.6
Mothers whose last birth was protected against neonatal tetanus (%),94.8,94.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),17.5,8.8
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),9.5,0.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),88.1,76.5
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),74.1,51.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,858","1,290"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.5,1.7
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.5,na
Institutional births (%),79.9,67.8
Institutional births in public facility (%),51.5,46.0
Home births that were conducted by skilled health personnel (%),4.2,5.1
Births attended by skilled health personnel (%),79.5,72.0
Births delivered by caesarean section (%),12.4,7.4
Births in a private health facility that were delivered by caesarean section (%),41.7,28.9
Births in a public health facility that were delivered by caesarean section (%),1.0,2.3
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),74.5,63.5
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),85.2,76.6
Children age 12-23 months who have received BCG (%),94.6,95.6
Children age 12-23 months who have received 3 doses of polio vaccine (%),79.0,73.0
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.9,82.6
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.5,83.0
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),37.5,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.8,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),86.4,72.4
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),37.3,61.6
Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.7,96.2
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.7,2.9
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.4,7.0
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(42.4)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(31.0)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(63.4)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.8,1.5
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),84.4,62.3
Children under age 3 years breastfed within one hour of birth (%),36.9,42.6
Children under age 6 months exclusively breastfed (%),60.5,32.8
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(45.4)
Breastfeeding children age 6-23 months receiving an adequate diet  (%),4.2,16.6
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(8.0),(6.0)
Total children age 6-23 months receiving an adequate diet  (%),5.1,14.6
Children under 5 years who are stunted (height-for-age) (%),49.4,48.4
Children under 5 years who are wasted (weight-for-height) (%),18.2,21.4
Children under 5 years who are severely wasted (weight-for-height) (%),9.1,6.9
Children under 5 years who are underweight (weight-for-age) (%),37.3,45.9
Children under 5 years who are overweight (weight-for-height) (%),1.1,1.4
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),28.4,33.6
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.7,11.0
Women who have high risk waist-to-hip ratio (≥0.85) (%),61.1,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),73.3,56.4
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),70.1,59.7
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),74.3,48.1
All women age 15-49 years who are anaemic (%),70.4,58.8
All women age 15-19 years who are anaemic (%),73.7,56.7
Women - Blood sugar level - high (141-160 mg/dl)(%),4.9,na
Women - Blood sugar level - very high (>160 mg/dl)(%),3.9,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.4,na
Men - Blood sugar level - high (141-160 mg/dl)(%),5.8,na
