Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),60.9,56.4
Population below age 15 years (%),37.8,39.8
"Sex ratio of the total population (females per 1,000 males)","1,071","1,063"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",890,"1,049"
Children under age 5 years whose birth was registered with the civil authority (%),88.5,58.9
Deaths in the last 3 years registered with the civil authority (%),39.2,na
Population living in households with electricity (%),95.7,41.4
Population living in households with an improved drinking-water source (%),98.6,99.0
Population living in households that use an improved sanitation facility(%),48.8,20.0
Households using clean fuel for cooking (%),36.1,14.0
Households using iodized salt (%),91.9,87.6
Households with any usual member covered under a health insurance/financing scheme (%),19.0,11.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.4,na
Women who are literate (%),54.3,na
Women with 10 or more years of schooling (%),26.5,23.1
Women age 20-24 years married before age 18 years (%),49.8,52.3
Births in the 5 years preceding the survey that are third or higher order (%),5.3,4.3
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),14.9,19.3
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),58.7,25.1
Any method (%),63.7,13.0
Any modern method (%),53.8,12.6
Female sterilization (%),41.1,8.2
Male sterilization (%),0.1,0.0
IUD/PPIUD (%),0.6,1.3
Pill (%),3.0,0.8
Condom (%),4.4,1.5
Injectables (%),1.7,0.7
Total unmet need(%),11.1,25.6
Unmet need for spacing (%),5.5,11.1
Health worker ever talked to female non-users about family planning (%),20.6,11.9
Current users ever told about side effects of current method (%),59.4,(39.6)
Mothers who had an antenatal check-up in the first trimester (%),53.4,29.3
Mothers who had at least 4 antenatal care visits (%),23.5,11.6
Mothers whose last birth was protected against neonatal tetanus (%),90.4,84.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),20.8,9.8
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.9,2.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),90.4,77.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),52.1,35.5
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,268","1,406"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),9.0,3.6
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),51.5,na
Institutional births (%),83.4,73.4
Institutional births in public facility (%),71.9,62.7
Home births that were conducted by skilled health personnel (%),2.9,5.1
Births attended by skilled health personnel (%),83.7,75.5
Births delivered by caesarean section (%),6.2,4.3
Births in a private health facility that were delivered by caesarean section (%),47.2,31.0
Births in a public health facility that were delivered by caesarean section (%),1.0,1.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),71.4,57.4
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),85.5,77.7
Children age 12-23 months who have received BCG (%),99.0,89.3
Children age 12-23 months who have received 3 doses of polio vaccine (%),74.6,69.1
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),89.5,82.3
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.4,75.7
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.5,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.5,65.2
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),64.1,64.0
Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.3,96.5
Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.7,3.5
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.6,11.5
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),60.2,47.4
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),30.3,20.9
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),56.3,59.4
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.5,1.6
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),78.7,58.1
Children under age 3 years breastfed within one hour of birth (%),27.0,37.7
Children under age 6 months exclusively breastfed (%),63.5,44.0
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(41.1),(19.3)
Breastfeeding children age 6-23 months receiving an adequate diet  (%),17.5,5.1
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet  (%),17.7,5.1
Children under 5 years who are stunted (height-for-age) (%),44.0,49.2
Children under 5 years who are wasted (weight-for-height) (%),21.3,18.4
Children under 5 years who are severely wasted (weight-for-height) (%),7.9,6.1
Children under 5 years who are underweight (weight-for-age) (%),42.8,41.3
Children under 5 years who are overweight (weight-for-height) (%),1.7,0.7
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),26.7,29.7
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.2,8.4
Women who have high risk waist-to-hip ratio (≥0.85) (%),54.3,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.2,65.4
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),59.9,59.6
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),69.7,56.3
All women age 15-49 years who are anaemic (%),60.5,59.4
All women age 15-19 years who are anaemic (%),65.9,62.6
Women - Blood sugar level - high (141-160 mg/dl)(%),8.0,na
Women - Blood sugar level - very high (>160 mg/dl)(%),5.6,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.3,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.9,na
Men - Blood sugar level - very high (>160 mg/dl) (%),7.0,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.9,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),7.1,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.2,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),15.8,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.4,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.4,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),16.4,na
