District,Agency,Households,Women,Men
Araria,Development and Research Services Pvt. Ltd. (DRS),947,1122,124
Arwal,Development and Research Services Pvt. Ltd. (DRS),966,1185,133
Aurangabad,Development and Research Services Pvt. Ltd. (DRS),970,1269,161
Banka,Development and Research Services Pvt. Ltd. (DRS),979,1098,147
Begusarai,Development and Research Services Pvt. Ltd. (DRS),966,1170,165
Bhagalpur,Development and Research Services Pvt. Ltd. (DRS),966,1154,179
Bhojpur,Development and Research Services Pvt. Ltd. (DRS),974,1213,181
Buxar,Development and Research Services Pvt. Ltd. (DRS),975,1295,158
Darbhanga,Development and Research Services Pvt. Ltd. (DRS),913,1053,100
Gaya,Development and Research Services Pvt. Ltd. (DRS),963,1153,147
Gopalganj,Development and Research Services Pvt. Ltd. (DRS),912,1139,96
Jamui,Development and Research Services Pvt. Ltd. (DRS),979,1172,119
Jehanabad,Development and Research Services Pvt. Ltd. (DRS),949,1072,156
Kaimur (Bhabua),Development and Research Services Pvt. Ltd. (DRS),973,1167,146
Katihar,Development and Research Services Pvt. Ltd. (DRS),892,945,107
Khagaria,Development and Research Services Pvt. Ltd. (DRS),909,1072,125
Kishanganj,Development and Research Services Pvt. Ltd. (DRS),929,1116,111
Lakhisarai,Development and Research Services Pvt. Ltd. (DRS),969,1222,147
Madhepura,Development and Research Services Pvt. Ltd. (DRS),931,1055,127
Madhubani,Development and Research Services Pvt. Ltd. (DRS),918,976,83
Munger,Development and Research Services Pvt. Ltd. (DRS),972,1100,157
Muzaffarpur,Development and Research Services Pvt. Ltd. (DRS),914,1095,94
Nalanda,Development and Research Services Pvt. Ltd. (DRS),962,1151,146
Nawada,Development and Research Services Pvt. Ltd. (DRS),963,1239,121
Pashchim Champaran,Development and Research Services Pvt. Ltd. (DRS),934,1070,109
Patna,Development and Research Services Pvt. Ltd. (DRS),897,942,143
Purba Champaran,Development and Research Services Pvt. Ltd. (DRS),934,1142,87
Purnia,Development and Research Services Pvt. Ltd. (DRS),904,973,133
Rohtas,Development and Research Services Pvt. Ltd. (DRS),975,1302,148
Saharsa,Development and Research Services Pvt. Ltd. (DRS),907,960,110
Samastipur,Development and Research Services Pvt. Ltd. (DRS),923,1061,118
Saran,Development and Research Services Pvt. Ltd. (DRS),945,1229,137
Sheikhpura,Development and Research Services Pvt. Ltd. (DRS),958,1160,132
Sheohar,Development and Research Services Pvt. Ltd. (DRS),944,886,104
Sitamarhi,Development and Research Services Pvt. Ltd. (DRS),911,1004,116
Siwan,Development and Research Services Pvt. Ltd. (DRS),941,1256,95
Supaul,Development and Research Services Pvt. Ltd. (DRS),945,1153,112
Vaishali,Development and Research Services Pvt. Ltd. (DRS),925,1112,123
