,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),58.0
1,Population below age 15 years (%),26.5
2,"Sex ratio of the total population (females per 1,000 males)","1,068"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,042"
4,Children under age 5 years whose birth was registered with the civil authority (%),89.3
5,Deaths in the last 3 years registered with the civil authority (%),55.9
6,Population living in households with electricity (%),96.8
7,Population living in households with an improved drinking-water source (%),94.1
8,Population living in households that use an improved sanitation facility(%),61.0
9,Households using clean fuel for cooking (%),31.6
10,Households using iodized salt (%),97.1
11,Households with any usual member covered under a health insurance/financing scheme (%),69.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),16.1
13,Women who are literate (%),52.9
14,Women with 10 or more years of schooling (%),25.3
15,Women age 20-24 years married before age 18 years (%),17.3
16,Births in the 5 years preceding the survey that are third or higher order (%),1.8
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),53.1
19,Any method (%),54.2
20,Any modern method (%),47.7
21,Female sterilization (%),31.4
22,Male sterilization (%),0.9
23,IUD/PPIUD (%),2.2
24,Pill (%),6.1
25,Condom (%),4.9
26,Injectables (%),0.2
27,Total unmet need(%),12.1
28,Unmet need for spacing (%),5.3
29,Health worker ever talked to female non-users about family planning (%),36.9
30,Current users ever told about side effects of current method (%),86.7
31,Mothers who had an antenatal check-up in the first trimester (%),57.3
32,Mothers who had at least 4 antenatal care visits (%),55.1
33,Mothers whose last birth was protected against neonatal tetanus (%),94.8
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),31.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),18.2
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.4
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),69.2
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,279"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),8.1
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),64.6
41,Institutional births (%),63.5
42,Institutional births in public facility (%),56.1
43,Home births that were conducted by skilled health personnel (%),13.8
44,Births attended by skilled health personnel (%),72.6
45,Births delivered by caesarean section (%),6.6
46,Births in a private health facility that were delivered by caesarean section (%),(46.9)
47,Births in a public health facility that were delivered by caesarean section (%),5.5
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),57.3
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),61.1
50,Children age 12-23 months who have received BCG (%),93.9
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),61.8
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.0
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),81.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),32.0
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),24.2
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),76.0
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),87.4
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.9
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.1
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),18.5
