,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),77.3,73.5
1,Population below age 15 years (%),23.6,25.4
2,"Sex ratio of the total population (females per 1,000 males)","1,057","1,017"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,120","1,108"
4,Children under age 5 years whose birth was registered with the civil authority (%),99.6,94.5
5,Deaths in the last 3 years registered with the civil authority (%),87.1,na
6,Population living in households with electricity (%),99.9,98.7
7,Population living in households with an improved drinking-water source (%),99.1,95.7
8,Population living in households that use an improved sanitation facility(%),89.8,56.4
9,Households using clean fuel for cooking (%),30.9,20.6
10,Households using iodized salt (%),99.4,99.6
11,Households with any usual member covered under a health insurance/financing scheme (%),86.8,83.2
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),2.7,na
13,Women who are literate (%),82.7,na
14,Women with 10 or more years of schooling (%),40.9,28.7
15,Women age 20-24 years married before age 18 years (%),5.8,8.5
16,Births in the 5 years preceding the survey that are third or higher order (%),0.4,1.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.0,2.8
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),82.9,58.9
19,Any method (%),81.1,72.0
20,Any modern method (%),78.3,69.8
21,Female sterilization (%),64.9,65.0
22,Male sterilization (%),1.0,0.9
23,IUD/PPIUD (%),1.5,0.5
24,Pill (%),2.0,1.6
25,Condom (%),5.5,1.8
26,Injectables (%),0.4,0.0
27,Total unmet need(%),4.5,5.7
28,Unmet need for spacing (%),2.2,3.8
29,Health worker ever talked to female non-users about family planning (%),37.2,31.6
30,Current users ever told about side effects of current method (%),92.1,50.0
31,Mothers who had an antenatal check-up in the first trimester (%),61.2,79.4
32,Mothers who had at least 4 antenatal care visits (%),70.4,76.3
33,Mothers whose last birth was protected against neonatal tetanus (%),94.2,99.2
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.8,41.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),38.3,16.5
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.5,95.0
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),84.3,76.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,601",889
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(5.3)
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),83.7,na
41,Institutional births (%),94.3,82.6
42,Institutional births in public facility (%),70.4,62.7
43,Home births that were conducted by skilled health personnel (%),4.1,8.0
44,Births attended by skilled health personnel (%),96.6,90.3
45,Births delivered by caesarean section (%),22.9,13.0
46,Births in a private health facility that were delivered by caesarean section (%),57.8,58.9
47,Births in a public health facility that were delivered by caesarean section (%),12.9,2.0
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),(80.6),88.2
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(82.3),86.3
50,Children age 12-23 months who have received BCG (%),(100.0),97.5
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(89.0),93.8
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(86.0),98.7
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(95.9),94.1
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(18.9),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(44.9),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(89.2),94.6
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),92.8,68.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),99.0
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),1.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.4,12.9
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(80.3)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(30.4)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(75.3)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.1,4.6
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,76.8
66,Children under age 3 years breastfed within one hour of birth (%),23.3,48.7
67,Children under age 6 months exclusively breastfed (%),(77.4),(74.5)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),7.3,11.3
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet (%),8.9,10.4
72,Children under 5 years who are stunted (height-for-age)(%),30.5,34.2
73,Children under 5 years who are wasted (weight-for-height) (%),17.9,27.0
74,Children under 5 years who are severely wasted (weight-for-height) (%),6.0,9.9
75,Children under 5 years who are underweight (weight-for-age) (%),28.9,40.2
76,Children under 5 years who are overweight (weight-for-height) (%),2.7,0.9
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),18.4,29.8
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),12.7,10.0
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),50.7,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.3,52.7
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),60.0,55.5
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(46.6)
83,All women age 15-49 years who are anaemic (%),59.6,55.2
