Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),79.4
Population below age 15 years (%),22.9
"Sex ratio of the total population (females per 1,000 males)",957
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",812
Children under age 5 years whose birth was registered with the civil authority (%),98.9
Deaths in the last 3 years registered with the civil authority (%),81.9
Population living in households with electricity (%),99.6
Population living in households with an improved drinking-water source (%),98.5
Population living in households that use an improved sanitation facility(%),89.5
Households using clean fuel for cooking (%),76.3
Households using iodized salt (%),98.0
Households with any usual member covered under a health insurance/financing scheme (%),67.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.0
Women who are literate (%),80.3
Women with 10 or more years of schooling (%),52.7
Women age 20-24 years married before age 18 years (%),4.3
Births in the 5 years preceding the survey that are third or higher order (%),1.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.6
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),87.7
Any method (%),80.6
Any modern method (%),76.4
Female sterilization (%),61.2
Male sterilization (%),0.6
IUD/PPIUD (%),3.8
Pill (%),1.6
Condom (%),6.5
Injectables (%),0.4
Total unmet need(%),4.9
Unmet need for spacing (%),3.4
Health worker ever talked to female non-users about family planning (%),36.5
Current users ever told about side effects of current method (%),89.2
Mothers who had an antenatal check-up in the first trimester (%),71.1
Mothers who had at least 4 antenatal care visits (%),69.9
Mothers whose last birth was protected against neonatal tetanus (%),96.0
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),46.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),28.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),94.2
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,451"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),92.5
Institutional births (%),96.7
Institutional births in public facility (%),72.4
Home births that were conducted by skilled health personnel (%),1.7
Births attended by skilled health personnel (%),98.0
Births delivered by caesarean section (%),27.5
Births in a private health facility that were delivered by caesarean section (%),64.1
Births in a public health facility that were delivered by caesarean section (%),16.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),82.7
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),87.0
Children age 12-23 months who have received BCG (%),97.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),85.8
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.8
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),92.2
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),34.6
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),56.4
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),85.4
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),82.3
Children age 12-23 months who received most of their vaccinations in a public health facility (%),90.4
Children age 12-23 months who received most of their vaccinations in a private health facility (%),9.6
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.0
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*
Children under age 3 years breastfed within one hour of birth (%),18.5
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),8.5
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),8.3
Children under 5 years who are stunted (height-for-age) (%),38.9
