Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),67.4
Population below age 15 years (%),26.5
"Sex ratio of the total population (females per 1,000 males)","1,048"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,011"
Children under age 5 years whose birth was registered with the civil authority (%),96.3
Deaths in the last 3 years registered with the civil authority (%),75.6
Population living in households with electricity (%),98.7
Population living in households with an improved drinking-water source (%),96.8
Population living in households that use an improved sanitation facility(%),81.0
Households using clean fuel for cooking (%),17.1
Households using iodized salt (%),99.2
Households with any usual member covered under a health insurance/financing scheme (%),79.8
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),7.0
Women who are literate (%),68.9
Women with 10 or more years of schooling (%),27.8
Women age 20-24 years married before age 18 years (%),9.7
Births in the 5 years preceding the survey that are third or higher order (%),1.2
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.6
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),58.2
Any method (%),76.2
Any modern method (%),68.3
Female sterilization (%),48.5
Male sterilization (%),0.4
IUD/PPIUD (%),2.5
Pill (%),3.5
Condom (%),5.6
Injectables (%),0.4
Total unmet need(%),3.5
Unmet need for spacing (%),1.4
Health worker ever talked to female non-users about family planning (%),27.7
Current users ever told about side effects of current method (%),88.1
Mothers who had an antenatal check-up in the first trimester (%),58.0
Mothers who had at least 4 antenatal care visits (%),57.8
Mothers whose last birth was protected against neonatal tetanus (%),90.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),39.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),26.1
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.3
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),86.3
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,570"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(7.8)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),82.3
Institutional births (%),87.6
Institutional births in public facility (%),80.6
Home births that were conducted by skilled health personnel (%),4.7
Births attended by skilled health personnel (%),84.9
Births delivered by caesarean section (%),10.9
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),8.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),83.4
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),81.1
Children age 12-23 months who have received BCG (%),100.0
Children age 12-23 months who have received 3 doses of polio vaccine (%),85.4
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),88.9
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.2
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),45.0
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),25.8
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),86.9
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),81.6
Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.8
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(40.1)
Children under age 3 years breastfed within one hour of birth (%),31.2
Children under age 6 months exclusively breastfed (%),(93.8)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),8.3
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),9.4
Children under 5 years who are stunted (height-for-age) (%),28.9
Children under 5 years who are wasted (weight-for-height) (%),21.9
Children under 5 years who are severely wasted (weight-for-height) (%),10.6
Children under 5 years who are underweight (weight-for-age) (%),22.1
Children under 5 years who are overweight (weight-for-height) (%),13.5
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),20.0
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),9.1
Women who have high risk waist-to-hip ratio (≥0.85) (%),58.8
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),73.9
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),65.0
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(55.3)
All women age 15-49 years who are anaemic (%),64.6
All women age 15-19 years who are anaemic (%),63.2
Women - Blood sugar level - high (141-160 mg/dl)(%),4.0
