,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),73.4,75.0
2,Population below age 15 years (%),24.0,30.1
3,"Sex ratio of the total population (females per 1,000 males)","1,014","1,028"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",988,"1,041"
5,Children under age 5 years whose birth was registered with the civil authority (%),99.7,96.9
6,Deaths in the last 3 years registered with the civil authority (%),81.4,na
7,Population living in households with electricity (%),99.3,99.0
8,Population living in households with an improved drinking-water source (%),98.8,92.4
9,Population living in households that use an improved sanitation facility(%),79.2,46.9
10,Households using clean fuel for cooking (%),27.4,19.7
11,Households using iodized salt (%),99.2,98.8
12,Households with any usual member covered under a health insurance/financing scheme (%),80.8,76.6
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0,na
15,Women who are literate (%),80.6,na
16,Women with 10 or more years of schooling (%),38.9,28.0
18,Women age 20-24 years married before age 18 years (%),3.8,17.2
19,Births in the 5 years preceding the survey that are third or higher order (%),0.7,2.7
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.4,4.4
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),73.6,60.7
23,Any method (%),73.3,64.3
24,Any modern method (%),70.5,62.9
25,Female sterilization (%),58.7,49.3
26,Male sterilization (%),1.0,1.8
27,IUD/PPIUD (%),2.5,4.0
28,Pill (%),2.4,1.2
29,Condom (%),1.8,4.6
30,Injectables (%),0.0,0.0
32,Total unmet need(%),6.3,9.0
33,Unmet need for spacing (%),2.8,4.9
35,Health worker ever talked to female non-users about family planning (%),27.6,45.7
36,Current users ever told about side effects of current method (%),90.8,74.0
38,Children under age 3 years breastfed within one hour of birth (%),20.1,66.7
39,Children under age 6 months exclusively breastfed (%),(85.5),84.6
40,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
41,Breastfeeding children age 6-23 months receiving an adequate diet (%),11.0,13.5
42,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
43,Total children age 6-23 months receiving an adequate diet (%),10.6,13.2
44,Children under 5 years who are stunted (height-for-age)(%),27.6,48.8
45,Children under 5 years who are wasted (weight-for-height) (%),19.4,17.2
46,Children under 5 years who are severely wasted (weight-for-height) (%),6.5,6.2
47,Children under 5 years who are underweight (weight-for-age) (%),31.0,36.6
48,Children under 5 years who are overweight (weight-for-height) (%),2.2,11.1
50,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),25.9,16.3
51,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),12.8,7.0
52,Women who have high risk waist-to-hip ratio (≥0.85) (%),50.9,na
54,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),80.5,29.7
55,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.6,44.4
56,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,32.3
57,All women age 15-49 years who are anaemic (%),58.3,43.7
58,All women age 15-19 years who are anaemic (%),55.5,42.3
61,Women - Blood sugar level - high (141-160 mg/dl)(%),4.9,na
62,Women - Blood sugar level - very high (>160 mg/dl)(%),4.7,na
63,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.3,na
65,Men - Blood sugar level - high (141-160 mg/dl)(%),3.9,na
66,Men - Blood sugar level - very high (>160 mg/dl) (%),3.4,na
67,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.2,na
70,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.5,na
71,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.1,na
73,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.7,na
75,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.3,na
76,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.3,na
78,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),28.3,na
80,Ever undergone a screening test for cervical cancer (%),0.0,na
81,Ever undergone a breast examination for breast cancer (%),0.0,na
82,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
84,Women age 15 years and above who use any kind of tobacco (%),19.0,na
85,Men age 15 years and above who use any kind of tobacco (%),47.3,na
86,Women age 15 years and above who consume alcohol (%),1.7,na
87,Men age 15 years and above who consume alcohol (%),35.1,na
