District,Agency,Households,Women,Men
Balod,Development and Research Services Pvt. Ltd. (DRS),919,1006,164
Baloda Bazar,Development and Research Services Pvt. Ltd. (DRS),914,1116,169
Balrampur,Development and Research Services Pvt. Ltd. (DRS),897,995,128
Bastar,Development and Research Services Pvt. Ltd. (DRS),905,1036,143
Bemetara,Development and Research Services Pvt. Ltd. (DRS),922,1060,134
Bijapur,Development and Research Services Pvt. Ltd. (DRS),915,1087,166
Bilaspur,Development and Research Services Pvt. Ltd. (DRS),881,973,173
Dantewada,Development and Research Services Pvt. Ltd. (DRS),917,1121,162
Dhamtari,Development and Research Services Pvt. Ltd. (DRS),917,1152,151
Durg,Development and Research Services Pvt. Ltd. (DRS),910,1112,184
Gariyaband,Development and Research Services Pvt. Ltd. (DRS),922,1044,159
Janjgir - Champa,Development and Research Services Pvt. Ltd. (DRS),920,1046,149
Jashpur,Development and Research Services Pvt. Ltd. (DRS),908,945,136
Kabeerdham,Development and Research Services Pvt. Ltd. (DRS),915,1037,151
Kodagaon,Development and Research Services Pvt. Ltd. (DRS),916,1165,148
Korba,Development and Research Services Pvt. Ltd. (DRS),876,1029,173
Koriya,Development and Research Services Pvt. Ltd. (DRS),906,967,133
Mahasamund,Development and Research Services Pvt. Ltd. (DRS),916,1073,163
Mungeli,Development and Research Services Pvt. Ltd. (DRS),912,963,119
Narayanpur,Development and Research Services Pvt. Ltd. (DRS),916,1146,164
