,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),66.3
2,Population below age 15 years (%),27.5
3,"Sex ratio of the total population (females per 1,000 males)","1,036"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,139"
5,Children under age 5 years whose birth was registered with the civil authority (%),97.2
6,Deaths in the last 3 years registered with the civil authority (%),81.6
7,Population living in households with electricity (%),99.3
8,Population living in households with an improved drinking-water source (%),96.4
9,Population living in households that use an improved sanitation facility(%),75.8
10,Households using clean fuel for cooking (%),24.5
11,Households using iodized salt (%),99.4
12,Households with any usual member covered under a health insurance/financing scheme (%),65.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),2.8
15,Women who are literate (%),71.0
16,Women with 10 or more years of schooling (%),37.7
18,Women age 20-24 years married before age 18 years (%),18.1
19,Births in the 5 years preceding the survey that are third or higher order (%),3.2
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.4
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),63.0
23,Any method (%),55.2
24,Any modern method (%),49.1
25,Female sterilization (%),38.5
26,Male sterilization (%),0.2
27,IUD/PPIUD (%),2.2
28,Pill (%),1.1
29,Condom (%),2.4
30,Injectables (%),0.3
32,Total unmet need(%),15.0
33,Unmet need for spacing (%),5.4
35,Health worker ever talked to female non-users about family planning (%),30.8
36,Current users ever told about side effects of current method (%),82.7
38,Mothers who had an antenatal check-up in the first trimester (%),70.4
39,Mothers who had at least 4 antenatal care visits (%),57.7
40,Mothers whose last birth was protected against neonatal tetanus (%),95.4
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),54.5
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),38.2
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.7
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.4
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,455"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(5.8)
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),79.1
51,Institutional births (%),85.3
52,Institutional births in public facility (%),73.3
53,Home births that were conducted by skilled health personnel (%),4.3
54,Births attended by skilled health personnel (%),89.4
55,Births delivered by caesarean section (%),10.2
56,Births in a private health facility that were delivered by caesarean section (%),(49.0)
57,Births in a public health facility that were delivered by caesarean section (%),5.9
59,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),84.6
60,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),89.0
61,Children age 12-23 months who have received BCG (%),96.4
62,Children age 12-23 months who have received 3 doses of polio vaccine (%),87.9
63,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),89.5
64,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.9
65,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.5
66,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),61.3
67,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),86.1
68,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),86.3
69,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.2
70,Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.8
72,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.6
73,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
74,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
75,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
76,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.3
78,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
80,Children under age 3 years breastfed within one hour of birth (%),32.3
81,Children under age 6 months exclusively breastfed (%),(87.2)
82,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
83,Breastfeeding children age 6-23 months receiving an adequate diet (%),10.4
84,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
85,Total children age 6-23 months receiving an adequate diet (%),9.9
86,Children under 5 years who are stunted (height-for-age) (%),29.4
87,Children under 5 years who are wasted (weight-for-height) (%),17.5
88,Children under 5 years who are severely wasted (weight-for-height) (%),7.6
89,Children under 5 years who are underweight (weight-for-age) (%),30.6
90,Children under 5 years who are overweight (weight-for-height) (%),1.3
92,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),26.8
93,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.3
94,Women who have high risk waist-to-hip ratio (≥0.85) (%),51.5
96,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),51.4
97,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.8
98,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(46.4)
99,All women age 15-49 years who are anaemic (%),58.3
100,All women age 15-19 years who are anaemic (%),54.3
103,Women - Blood sugar level - high (141-160 mg/dl)(%),4.3
104,Women - Blood sugar level - very high (>160 mg/dl)(%),4.2
105,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.0
107,Men - Blood sugar level - high (141-160 mg/dl)(%),5.0
108,Men - Blood sugar level - very high (>160 mg/dl) (%),7.1
109,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.5
112,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.7
113,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.8
115,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),28.5
117,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),23.6
118,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),12.5
120,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),37.5
122,Ever undergone a screening test for cervical cancer (%),0.0
123,Ever undergone a breast examination for breast cancer (%),0.0
124,Ever undergone an oral cavity examination for oral cancer (%),0.2
126,Women age 15 years and above who use any kind of tobacco (%),24.0
127,Men age 15 years and above who use any kind of tobacco (%),49.3
128,Women age 15 years and above who consume alcohol (%),12.1
129,Men age 15 years and above who consume alcohol (%),40.6
