,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Female population age 6 years and above who ever attended school (%),85.8,65.0,74.4,73.0
1,Population below age 15 years (%),24.4,26.4,25.4,26.5
2,"Sex ratio of the total population (females per 1,000 males)",775,875,827,813
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",705,940,817,983
4,Children under age 5 years whose birth was registered with the civil authority (%),96.6,99.5,98.1,93.0
5,Deaths in the last 3 years registered with the civil authority (%),91.5,99.6,95.4,na
6,Population living in households with electricity (%),99.9,99.5,99.7,98.3
7,Population living in households with an improved drinking-water source (%),97.9,93.2,95.4,94.8
8,Population living in households that use an improved sanitation facility(%),68.5,63.3,65.8,44.4
9,Households using clean fuel for cooking (%),95.2,62.6,79.9,63.1
10,Households using iodized salt (%),98.1,78.4,89.1,80.8
11,Households with any usual member covered under a health insurance/financing scheme (%),39.5,66.3,52.0,25.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.2,1.3,3.7,na
13,Women who are literate (%),87.7,67.9,77.3,na
14,Men who are literate (%),95.4,91.6,93.4,na
15,Women with 10 or more years of schooling (%),48.6,24.2,35.8,40.3
16,Men with 10 or more years of schooling (%),58.8,40.7,49.4,52.6
17,Women who have ever used the internet (%),49.4,23.8,36.7,na
18,Men who have ever used the internet (%),76.2,61.3,68.3,na
19,Women age 20-24 years married before age 18 years (%),26.7,26.2,26.4,26.8
20,Men age 25-29 years married before age 21 years (%),(20.6),(7.4),12.6,29.9
21,Total fertility rate (children per woman),1.7,1.9,1.8,2.1
22,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.9,5.8,4.3,8.5
23,Adolescent fertility rate for women age 15-19 years,32,45,40,54
24,Neonatal mortality rate (NNMR),(20.3),(22.5),21.4,13.9
25,Infant mortality rate (IMR),(33.3),(30.4),31.8,33.4
26,Under-five mortality rate (U5MR),(43.8),(30.4),37.0,39.9
27,Any method (%),63.5,72.4,68.0,36.2
28,Any modern method (%),53.6,66.0,59.8,35.8
29,Female sterilization (%),30.9,52.4,41.6,29.7
30,Male sterilization (%),0.0,0.3,0.2,0.0
31,IUD/PPIUD (%),3.0,1.5,2.2,1.7
32,Pill (%),3.5,2.8,3.1,1.2
33,Condom (%),15.6,7.8,11.7,3.2
34,Injectables (%),0.7,1.1,0.9,0.0
35,Total unmet need(%),15.4,8.5,11.9,19.5
36,Unmet need for spacing (%),7.4,3.2,5.3,10.7
37,Health worker ever talked to female non-users about family planning (%),27.6,23.2,25.3,15.5
38,Current users ever told about side effects of current method (%),66.9,72.2,69.9,43.4
39,Mothers who had an antenatal check-up in the first trimester (%),71.8,84.0,77.7,66.9
40,Mothers who had at least 4 antenatal care visits (%),77.9,94.8,86.2,71.9
41,Mothers whose last birth was protected against neonatal tetanus (%),78.7,90.8,84.6,82.3
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.0,63.7,59.8,42.3
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),35.2,37.2,36.2,26.2
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,99.9,98.8,89.8
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.5,91.7,91.6,64.8
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,132",329,677,692
