,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),88.2,82.8
1,Population below age 15 years (%),18.9,24.4
2,"Sex ratio of the total population (females per 1,000 males)","1,040","1,000"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",819,970
4,Children under age 5 years whose birth was registered with the civil authority (%),100.0,98.4
5,Deaths in the last 3 years registered with the civil authority (%),100.0,na
6,Population living in households with electricity (%),100.0,100.0
7,Population living in households with an improved drinking-water source (%),99.0,96.6
8,Population living in households that use an improved sanitation facility(%),88.2,75.1
9,Households using clean fuel for cooking (%),96.2,86.4
10,Households using iodized salt (%),96.9,97.4
11,Households with any usual member covered under a health insurance/financing scheme (%),67.7,7.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),20.5,na
13,Women who are literate (%),93.8,na
14,Women with 10 or more years of schooling (%),70.9,53.0
15,Women age 20-24 years married before age 18 years (%),3.9,9.6
16,Births in the 5 years preceding the survey that are third or higher order (%),1.4,1.7
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.8,4.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.2,88.1
19,Any method (%),75.0,34.6
20,Any modern method (%),67.8,31.7
21,Female sterilization (%),40.0,23.7
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),2.5,1.1
24,Pill (%),1.0,0.0
25,Condom (%),23.5,6.8
26,Injectables (%),0.0,0.0
27,Total unmet need(%),7.2,16.1
28,Unmet need for spacing (%),3.3,6.8
29,Health worker ever talked to female non-users about family planning (%),19.7,36.2
30,Current users ever told about side effects of current method (%),89.4,(66.8)
31,Mothers who had an antenatal check-up in the first trimester (%),62.7,71.9
32,Mothers who had at least 4 antenatal care visits (%),96.0,81.5
33,Mothers whose last birth was protected against neonatal tetanus (%),97.8,90.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),92.2,35.3
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),59.1,14.2
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.5,95.9
37,days of delivery (%),99.5,88.5
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,768","1,841"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),98.0,na
41,Institutional births (%),100.0,94.5
42,Institutional births in public facility (%),52.0,56.7
43,Home births that were conducted by skilled health personnel (%),0.0,2.3
