Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),77.9,78.3
Population below age 15 years (%),19.6,21.7
"Sex ratio of the total population (females per 1,000 males)","1,056","1,036"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,006",847
Children under age 5 years whose birth was registered with the civil authority (%),100.0,96.7
Deaths in the last 3 years registered with the civil authority (%),99.2,na
Population living in households with electricity (%),98.7,98.4
Population living in households with an improved drinking-water source (%),97.4,94.6
Population living in households that use an improved sanitation facility(%),80.1,70.2
Households using clean fuel for cooking (%),70.2,53.2
Households using iodized salt (%),95.1,93.8
Households with any usual member covered under a health insurance/financing scheme (%),42.0,28.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(0.0),na
Women who are literate (%),84.1,na
Women with 10 or more years of schooling (%),47.7,42.0
Women age 20-24 years married before age 18 years (%),15.7,17.6
Births in the 5 years preceding the survey that are third or higher order (%),1.4,1.5
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.3,8.2
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),77.2,56.0
Any method (%),78.2,68.7
Any modern method (%),65.1,62.2
Female sterilization (%),52.1,51.9
Male sterilization (%),0.8,2.3
IUD/PPIUD (%),1.3,2.2
Pill (%),0.7,1.9
Condom (%),9.3,3.8
Injectables (%),0.1,0.1
Total unmet need(%),6.5,9.6
Unmet need for spacing (%),3.7,1.8
Health worker ever talked to female non-users about family planning (%),62.8,30.3
Current users ever told about side effects of current method (%),87.5,61.7
Mothers who had an antenatal check-up in the first trimester (%),93.4,87.2
Mothers who had at least 4 antenatal care visits (%),94.7,91.9
Mothers whose last birth was protected against neonatal tetanus (%),97.6,89.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),79.1,58.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),67.0,40.1
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.6,88.2
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),98.2,75.3
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,188","1,664"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),99.6,na
Institutional births (%),99.3,95.2
Institutional births in public facility (%),49.6,33.4
Home births that were conducted by skilled health personnel (%),0.7,0.3
Births attended by skilled health personnel (%),99.1,95.5
Births delivered by caesarean section (%),26.5,23.1
Births in a private health facility that were delivered by caesarean section (%),33.3,32.9
Births in a public health facility that were delivered by caesarean section (%),20.1,8.2
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),95.0,(78.5)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),95.5,(94.6)
Children age 12-23 months who have received BCG (%),100.0,(100.0)
Children age 12-23 months who have received 3 doses of polio vaccine (%),95.0,(81.5)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),96.9,(90.2)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),95.0,(91.5)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),41.2,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),3.2,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),95.0,(62.0)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),95.5,77.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.0,(87.6)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.0,(6.6)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.6,6.5
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.9,1.0
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(63.3),*
Children under age 3 years breastfed within one hour of birth (%),17.0,58.2
Children under age 6 months exclusively breastfed (%),*,*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),0.0,4.2
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet  (%),0.0,3.4
Children under 5 years who are stunted (height-for-age) (%),36.8,38.9
Children under 5 years who are wasted (weight-for-height) (%),29.0,26.8
Children under 5 years who are severely wasted (weight-for-height) (%),9.3,5.7
Children under 5 years who are underweight (weight-for-age) (%),43.6,37.4
Children under 5 years who are overweight (weight-for-height) (%),3.4,0.0
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),21.8,29.5
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),18.7,23.1
Women who have high risk waist-to-hip ratio (≥0.85) (%),59.4,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),75.3,51.9
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),68.9,51.9
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,*
All women age 15-49 years who are anaemic (%),68.7,52.1
All women age 15-19 years who are anaemic (%),72.6,48.4
Women - Blood sugar level - high (141-160 mg/dl)(%),6.2,na
Women - Blood sugar level - very high (>160 mg/dl)(%),8.8,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.0,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.2,na
Men - Blood sugar level - very high (>160 mg/dl) (%),8.1,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.1,na
