District,Agency,Households,Women,Men
Ahmedabad,Centre for Operations Research and Training (CORT),906,1010,155
Amreli,Centre for Operations Research and Training (CORT),870,936,127
Anand,TALEEM Research Foundation,870,914,163
Aravali,TALEEM Research Foundation,901,1078,187
Banaskantha,Centre for Operations Research and Training (CORT),889,1049,157
Bharuch,Centre for Operations Research and Training (CORT),856,919,124
Bhavnagar,Centre for Operations Research and Training (CORT),871,950,145
Botad,Centre for Operations Research and Training (CORT),866,1032,149
Chhota Udaipur,TALEEM Research Foundation,896,1035,173
Dahod,TALEEM Research Foundation,899,1221,158
Devbhumi Dwarka,Centre for Operations Research and Training (CORT),915,1170,198
Gandhinagar,TALEEM Research Foundation,862,919,151
Gir Somnath,Centre for Operations Research and Training (CORT),900,1158,185
Jamnagar,Centre for Operations Research and Training (CORT),920,1042,165
Junagadh,Centre for Operations Research and Training (CORT),886,963,164
Kachchh,Centre for Operations Research and Training (CORT),922,1026,181
Kheda,TALEEM Research Foundation,890,1029,183
Mahesana,TALEEM Research Foundation,839,883,136
Mahisagar,TALEEM Research Foundation,899,1017,168
Morbi,Centre for Operations Research and Training (CORT),902,1119,182
Narmada,TALEEM Research Foundation,904,1021,155
Navsari,TALEEM Research Foundation,893,991,162
Panchmahal,TALEEM Research Foundation,908,1101,196
Patan,Centre for Operations Research and Training (CORT),904,1011,169
Porbandar,Centre for Operations Research and Training (CORT),917,1018,169
Rajkot,Centre for Operations Research and Training (CORT),882,979,159
Sabarkantha,TALEEM Research Foundation,892,1018,152
Surat,TALEEM  Research  Foundation,902,986,195
Surendranagar,Centre for Operations Research and Training (CORT),869,931,143
Tapi,TALEEM Research Foundation,904,991,144
The Dangs,TALEEM Research Foundation,897,901,130
Vadodara,TALEEM Research Foundation,855,894,167
Valsad,TALEEM Research Foundation,882,1031,159
