Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),66.0
Population below age 15 years (%),23.7
"Sex ratio of the total population (females per 1,000 males)",957
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",992
Children under age 5 years whose birth was registered with the civil authority (%),96.7
Deaths in the last 3 years registered with the civil authority (%),94.0
Population living in households with electricity (%),99.4
Population living in households with an improved drinking-water source (%),96.9
Population living in households that use an improved sanitation facility(%),63.8
Households using clean fuel for cooking (%),56.9
Households using iodized salt (%),97.6
Households with any usual member covered under a health insurance/financing scheme (%),50.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0
Women who are literate (%),75.1
Women with 10 or more years of schooling (%),23.3
Women age 20-24 years married before age 18 years (%),19.5
Births in the 5 years preceding the survey that are third or higher order (%),4.5
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.3
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),52.8
Any method (%),76.0
Any modern method (%),65.7
Female sterilization (%),47.3
Male sterilization (%),0.1
IUD/PPIUD (%),3.4
Pill (%),4.3
Condom (%),10.3
Injectables (%),0.0
Total unmet need(%),8.3
Unmet need for spacing (%),4.0
Health worker ever talked to female non-users about family planning (%),25.1
Current users ever told about side effects of current method (%),75.5
Mothers who had an antenatal check-up in the first trimester (%),84.0
Mothers who had at least 4 antenatal care visits (%),57.5
Mothers whose last birth was protected against neonatal tetanus (%),90.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),39.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),25.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),78.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,721"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.4
Institutional births (%),85.6
Institutional births in public facility (%),45.4
Home births that were conducted by skilled health personnel (%),2.9
Births attended by skilled health personnel (%),83.6
Births delivered by caesarean section (%),12.2
Births in a private health facility that were delivered by caesarean section (%),24.4
Births in a public health facility that were delivered by caesarean section (%),5.3
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),62.5
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),68.4
Children age 12-23 months who have received BCG (%),91.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),67.8
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),75.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),78.4
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),31.1
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),1.6
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),75.2
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),79.4
Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.7
Children age 12-23 months who received most of their vaccinations in a private health facility (%),5.2
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),8.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(63.5)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(22.2)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(62.9)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(79.8)
Children under age 3 years breastfed within one hour of birth (%),30.0
Children under age 6 months exclusively breastfed (%),(67.5)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),0.0
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),0.9
Children under 5 years who are stunted (height-for-age) (%),39.2
Children under 5 years who are wasted (weight-for-height) (%),27.1
Children under 5 years who are severely wasted (weight-for-height) (%),8.8
Children under 5 years who are underweight (weight-for-age) (%),41.8
Children under 5 years who are overweight (weight-for-height) (%),5.2
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),24.1
