Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),80.5,73.5
Population below age 15 years (%),25.0,31.1
"Sex ratio of the total population (females per 1,000 males)",890,826
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",955,686
Children under age 5 years whose birth was registered with the civil authority (%),95.6,92.1
Deaths in the last 3 years registered with the civil authority (%),77.5,na
Population living in households with electricity (%),100.0,99.3
Population living in households with an improved drinking-water source (%),97.9,99.2
Population living in households that use an improved sanitation facility(%),84.2,80.5
Households using clean fuel for cooking (%),89.3,82.6
Households using iodized salt (%),95.4,91.8
Households with any usual member covered under a health insurance/financing scheme (%),32.8,18.8
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.7,na
Women who are literate (%),82.3,na
Women with 10 or more years of schooling (%),55.6,42.0
Women age 20-24 years married before age 18 years (%),15.3,21.6
Births in the 5 years preceding the survey that are third or higher order (%),1.4,4.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.8,5.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.5,70.6
Any method (%),77.5,28.3
Any modern method (%),58.2,25.5
Female sterilization (%),22.4,12.7
Male sterilization (%),0.6,0.3
IUD/PPIUD (%),5.7,2.7
Pill (%),2.4,1.5
Condom (%),23.9,8.1
Injectables (%),0.4,0.2
Total unmet need(%),7.4,21.9
Unmet need for spacing (%),3.3,7.7
Health worker ever talked to female non-users about family planning (%),23.8,18.4
Current users ever told about side effects of current method (%),91.7,(41.7)
Mothers who had an antenatal check-up in the first trimester (%),85.6,48.3
Mothers who had at least 4 antenatal care visits (%),51.2,30.1
Mothers whose last birth was protected against neonatal tetanus (%),81.4,90.0
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),44.6,18.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),25.0,10.1
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.0,87.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),93.5,60.2
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,591","3,991"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,1.3
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),93.3,na
Institutional births (%),92.5,72.0
Institutional births in public facility (%),42.9,45.6
Home births that were conducted by skilled health personnel (%),1.4,10.9
Births attended by skilled health personnel (%),93.9,80.9
Births delivered by caesarean section (%),23.5,14.4
Births in a private health facility that were delivered by caesarean section (%),39.6,31.3
Births in a public health facility that were delivered by caesarean section (%),8.9,13.6
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),69.5,46.3
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),73.2,(56.4)
Children age 12-23 months who have received BCG (%),95.4,84.7
Children age 12-23 months who have received 3 doses of polio vaccine (%),74.4,64.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.6,67.6
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),85.1,64.7
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),22.3,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),69.5,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),83.6,39.4
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),59.4,56.6
Children age 12-23 months who received most of their vaccinations in a public health facility (%),94.8,97.4
Children age 12-23 months who received most of their vaccinations in a private health facility (%),5.2,2.6
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.7,8.9
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(54.0)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(8.2)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(78.9)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.2,5.2
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,77.4
Children under age 3 years breastfed within one hour of birth (%),37.2,54.3
Children under age 6 months exclusively breastfed (%),(65.3),(36.5)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),12.3,12.8
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),11.7,14.8
Children under 5 years who are stunted (height-for-age) (%),28.9,29.7
Children under 5 years who are wasted (weight-for-height) (%),8.0,19.7
Children under 5 years who are severely wasted (weight-for-height) (%),3.6,8.9
Children under 5 years who are underweight (weight-for-age) (%),19.5,20.5
Children under 5 years who are overweight (weight-for-height) (%),2.4,1.1
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.0,14.4
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),37.1,23.7
Women who have high risk waist-to-hip ratio (≥0.85) (%),68.1,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),68.4,75.0
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),54.8,55.5
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(30.9),(31.0)
All women age 15-49 years who are anaemic (%),54.2,54.1
All women age 15-19 years who are anaemic (%),55.9,49.1
Women - Blood sugar level - high (141-160 mg/dl)(%),3.8,na
Women - Blood sugar level - very high (>160 mg/dl)(%),5.3,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.0,na
Men - Blood sugar level - high (141-160 mg/dl)(%),5.1,na
Men - Blood sugar level - very high (>160 mg/dl) (%),5.5,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.6,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.2,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.3,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),23.3,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.8,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.0,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),26.2,na
Ever undergone a screening test for cervical cancer (%),1.0,na
Ever undergone a breast examination for breast cancer (%),0.0,na
Ever undergone an oral cavity examination for oral cancer (%),0.2,na
Women age 15 years and above who use any kind of tobacco (%),2.7,na
Men age 15 years and above who use any kind of tobacco (%),23.0,na
Women age 15 years and above who consume alcohol (%),0.5,na
Men age 15 years and above who consume alcohol (%),13.6,na
