,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Female population age 6 years and above who ever attended school (%),82.3,69.6,73.8,70.3
1,Population below age 15 years (%),23.2,26.3,25.3,27.8
2,"Sex ratio of the total population (females per 1,000 males)",911,933,926,876
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",943,873,893,836
4,Children under age 5 years whose birth was registered with the civil authority (%),95.7,94.9,95.1,94.2
5,Deaths in the last 3 years registered with the civil authority (%),88.8,85.5,86.4,na
6,Population living in households with electricity (%),99.8,99.5,99.6,98.9
7,Population living in households with an improved drinking-water source (%),99.3,98.2,98.6,98.3
8,Population living in households that use an improved sanitation facility(%),86.0,84.6,85.0,80.6
9,Households using clean fuel for cooking (%),90.5,42.6,59.5,52.2
10,Households using iodized salt (%),95.1,96.6,96.1,92.8
11,Households with any usual member covered under a health insurance/financing scheme (%),28.3,24.2,25.7,12.2
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.1,7.4,7.6,na
13,Women who are literate (%),85.7,76.7,79.7,na
14,Men who are literate (%),93.3,90.6,91.5,na
15,Women with 10 or more years of schooling (%),60.1,44.1,49.5,45.8
16,Men with 10 or more years of schooling (%),65.0,60.8,62.2,61.1
17,Women who have ever used the internet (%),60.2,42.8,48.4,na
18,Men who have ever used the internet (%),79.7,68.8,72.4,na
19,Women age 20-24 years married before age 18 years (%),9.9,13.7,12.5,19.4
20,Men age 25-29 years married before age 21 years (%),17.6,15.2,16.0,23.9
21,Total fertility rate (children per woman),1.7,2.0,1.9,2.1
22,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.0,4.3,3.9,5.8
23,Adolescent fertility rate for women age 15-19 years,21,29,27,41
24,Neonatal mortality rate (NNMR),19.0,22.7,21.6,22.1
25,Infant mortality rate (IMR),28.6,35.3,33.3,32.8
26,Under-five mortality rate (U5MR),36.0,39.8,38.7,41.1
27,Any method (%),73.5,72.9,73.1,63.7
28,Any modern method (%),59.0,61.3,60.5,59.4
29,Female sterilization (%),24.1,36.3,32.3,38.1
30,Male sterilization (%),0.7,1.1,0.9,0.6
31,IUD/PPIUD (%),5.0,4.9,5.0,5.7
32,Pill (%),2.9,2.8,2.8,2.7
33,Condom (%),24.6,14.9,18.1,12.0
34,Injectables (%),0.4,0.4,0.4,0.2
35,Total unmet need(%),7.7,7.5,7.6,9.3
36,Unmet need for spacing (%),2.9,3.6,3.3,3.8
37,Health worker ever talked to female non-users about family planning (%),21.2,26.9,24.9,23.0
38,Current users ever told about side effects of current method (%),71.6,68.2,69.1,63.5
39,Mothers who had an antenatal check-up in the first trimester (%),85.0,85.3,85.2,63.2
40,Mothers who had at least 4 antenatal care visits (%),63.1,59.2,60.4,45.1
41,Mothers whose last birth was protected against neonatal tetanus (%),88.6,91.7,90.7,92.3
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),50.7,51.5,51.2,32.5
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),31.7,32.0,32.0,14.3
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP)card (%),94.9,97.6,96.8,92.0
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),92.4,90.8,91.3,67.3
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,768","1,631","1,666","1,569"
47,Children born at home who were taken to a health facility for a check-up within 24 hours ofbirth (%),(7.3),2.9,3.8,1.4
48,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),92.3,90.4,91.0,na
49,Institutional births (%),96.1,94.4,94.9,80.4
50,Institutional births in public facility (%),48.6,61.1,57.5,52.0
51,Home births that were conducted by skilled health personnel (%),0.7,1.3,1.1,5.8
52,Births attended by skilled health personnel (%),95.5,94.0,94.4,84.6
53,Births delivered by caesarean section (%),23.5,17.8,19.5,11.7
54,Births in a private health facility that were delivered by caesarean section (%),34.9,33.4,33.9,25.3
55,Births in a public health facility that were delivered by caesarean section (%),14.4,10.9,11.7,8.6
56,Children age 12-23 months fully vaccinated based on information from either vaccination cardor mother's recall (%),74.3,77.9,76.9,62.2
57,Children age 12-23 months fully vaccinated based on information from vaccination cardonly (%),82.0,80.8,81.1,79.4
58,Children age 12-23 months who have received BCG (%),95.9,94.6,95.0,92.8
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),77.8,81.6,80.6,75.3
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),88.9,88.3,88.5,76.5
61,Children age 12-23 months who have received the first dose of measles-containingvaccine (MCV) (%),89.4,89.4,89.4,79.0
62,Children age 24-35 months who have received a second dose of measles-containingvaccine (MCV) (%),33.5,31.4,32.0,na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),79.5,80.0,79.8,na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.8,87.3,87.4,54.3
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),62.2,66.0,64.9,71.3
66,Children age 12-23 months who received most of their vaccinations in a public healthfacility (%),92.1,98.8,96.9,94.8
67,Children age 12-23 months who received most of their vaccinations in a private healthfacility (%),6.5,0.7,2.4,5.1
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.8,5.0,4.9,7.7
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydrationsalts (ORS) (%),52.2,44.4,46.6,60.6
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),26.0,26.3,26.2,21.9
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or healthprovider (%),70.8,78.3,76.1,77.3
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding thesurvey (%),1.8,2.4,2.3,3.2
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a healthfacility or health provider (%),70.7,74.6,73.5,80.1
74,Children under age 3 years breastfed within one hour of birth (%),37.7,43.3,41.6,42.4
75,Children under age 6 months exclusively breastfed (%),70.3,69.1,69.5,50.3
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),51.8,39.2,43.0,35.9
