,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),51.2,47.1
1,Population below age 15 years (%),40.6,43.9
2,"Sex ratio of the total population (females per 1,000 males)",914,933
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",891,891
4,Children under age 5 years whose birth was registered with the civil authority (%),84.9,75.7
5,Deaths in the last 3 years registered with the civil authority (%),66.8,na
6,Population living in households with electricity (%),98.6,90.0
7,Population living in households with an improved drinking-water source (%),97.1,94.2
8,Population living in households that use an improved sanitation facility(%),71.7,50.6
9,Households using clean fuel for cooking (%),22.0,17.2
10,Households using iodized salt (%),93.4,67.5
11,Households with any usual member covered under a health insurance/financing scheme (%),11.5,7.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.7,na
13,Women who are literate (%),41.9,na
14,Women with 10 or more years of schooling (%),13.9,12.6
15,Women age 20-24 years married before age 18 years (%),28.7,40.0
16,Births in the 5 years preceding the survey that are third or higher order (%),7.3,9.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.6,14.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),58.1,35.6
19,Any method (%),37.8,15.5
20,Any modern method (%),28.2,14.4
21,Female sterilization (%),11.2,8.6
22,Male sterilization (%),0.1,0.1
23,IUD/PPIUD (%),2.3,1.2
24,Pill (%),3.3,1.5
25,Condom (%),6.1,2.6
26,Injectables (%),2.6,0.4
27,Total unmet need(%),19.6,31.0
28,Unmet need for spacing (%),11.3,12.5
29,Health worker ever talked to female non-users about family planning (%),29.8,7.9
30,Current users ever told about side effects of current method (%),62.2,(37.0)
31,Mothers who had an antenatal check-up in the first trimester (%),70.9,12.8
32,Mothers who had at least 4 antenatal care visits (%),45.9,6.5
33,Mothers whose last birth was protected against neonatal tetanus (%),84.8,67.6
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),18.3,6.2
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),5.7,1.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.0,70.7
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),65.9,27.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,031","2,056"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),3.1,0.3
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),66.9,na
41,Institutional births (%),74.6,37.6
42,Institutional births in public facility (%),59.2,23.7
43,Home births that were conducted by skilled health personnel (%),5.3,8.6
44,Births attended by skilled health personnel (%),77.8,45.6
45,Births delivered by caesarean section (%),4.2,4.2
46,Births in a private health facility that were delivered by caesarean section (%),15.2,23.5
47,Births in a public health facility that were delivered by caesarean section (%),3.1,4.0
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),53.8,13.1
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),63.5,(30.8)
50,Children age 12-23 months who have received BCG (%),87.2,62.3
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),57.8,36.7
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),68.3,23.8
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),65.7,32.3
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),21.0,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),49.0,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),66.4,14.6
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),59.2,24.4
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.7,94.8
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,2.6
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.1,12.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(61.2),33.9
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(24.3),13.0
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(67.2),68.0
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.7,8.0
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,72.0
66,Children under age 3 years breastfed within one hour of birth (%),55.0,30.7
67,Children under age 6 months exclusively breastfed (%),66.4,55.8
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(29.7),20.6
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),11.8,3.5
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(16.8),(4.4)
71,Total children age 6-23 months receiving an adequate diet (%),13.0,3.7
