District,Agency,Households,Women,Men
Ambala,Society for Promotion of Youth and Masses (SPYM),902,1139,200
Bhiwani,Society for Promotion of Youth and Masses (SPYM),855,1046,143
Charkhi Dadri,Society for Promotion of Youth and Masses (SPYM),838,960,113
Faridabad,Society for Promotion of Youth and Masses (SPYM),857,1033,184
Fatehabad,Society for Promotion of Youth and Masses (SPYM),753,899,145
Gurgaon,Society for Promotion of Youth and Masses (SPYM),800,849,98
Hisar,Society for Promotion of Youth and Masses (SPYM),832,1016,152
Jhajjar,Society for Promotion of Youth and Masses (SPYM),800,911,142
Jind,Society for Promotion of Youth and Masses (SPYM),861,1053,159
Kaithal,Society for Promotion of Youth and Masses (SPYM),737,872,97
Karnal,Society for Promotion of Youth and Masses (SPYM),918,1237,202
Kurukshetra,Society for Promotion of Youth and Masses (SPYM),888,1140,184
Mahendragarh,Society for Promotion of Youth and Masses (SPYM),890,997,164
Mewat,Society for Promotion of Youth and Masses (SPYM),890,1078,159
Palwal,Society for Promotion of Youth and Masses (SPYM),897,1166,191
Panchkula,Society for Promotion of Youth and Masses (SPYM),679,751,83
Panipat,Society for Promotion of Youth and Masses (SPYM),852,1004,143
Rewari,Society for Promotion of Youth and Masses (SPYM),883,1021,150
Rohtak,Society for Promotion of Youth and Masses (SPYM),826,978,139
Sirsa,Society for Promotion of Youth and Masses (SPYM),483,588,28
Sonipat,Society for Promotion of Youth and Masses (SPYM),872,1017,156
Yamunanagar,Society for Promotion of Youth and Masses (SPYM),916,1154,192
