Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),81.3,78.6
Population below age 15 years (%),22.1,25.8
"Sex ratio of the total population (females per 1,000 males)","1,096","1,086"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",875,915
Children under age 5 years whose birth was registered with the civil authority (%),96.9,95.5
Deaths in the last 3 years registered with the civil authority (%),93.4,na
Population living in households with electricity (%),100.0,99.9
Population living in households with an improved drinking-water source (%),92.9,81.2
Population living in households that use an improved sanitation facility(%),80.8,71.9
Households using clean fuel for cooking (%),35.8,19.1
Households using iodized salt (%),98.7,99.6
Households with any usual member covered under a health insurance/financing scheme (%),35.4,18.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.5,na
Women who are literate (%),91.2,na
Women with 10 or more years of schooling (%),64.2,60.5
Women age 20-24 years married before age 18 years (%),10.0,13.6
Births in the 5 years preceding the survey that are third or higher order (%),0.5,1.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.2,1.5
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.4,89.4
Any method (%),80.8,52.1
Any modern method (%),70.3,50.2
Female sterilization (%),53.1,39.7
Male sterilization (%),2.5,1.0
IUD/PPIUD (%),0.4,0.3
Pill (%),1.5,1.7
Condom (%),12.4,7.3
Injectables (%),0.2,0.3
Total unmet need(%),7.2,16.4
Unmet need for spacing (%),2.4,3.5
Health worker ever talked to female non-users about family planning (%),25.0,15.1
Current users ever told about side effects of current method (%),49.8,35.5
Mothers who had an antenatal check-up in the first trimester (%),76.4,71.8
Mothers who had at least 4 antenatal care visits (%),81.4,58.8
Mothers whose last birth was protected against neonatal tetanus (%),92.4,75.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.4,55.4
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),48.9,29.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.3,93.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.9,75.8
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,360","4,743"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(3.1)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.0,na
Institutional births (%),91.7,82.9
Institutional births in public facility (%),72.1,58.4
Home births that were conducted by skilled health personnel (%),0.5,2.3
Births attended by skilled health personnel (%),87.6,84.1
Births delivered by caesarean section (%),19.2,15.7
Births in a private health facility that were delivered by caesarean section (%),(26.2),29.8
Births in a public health facility that were delivered by caesarean section (%),19.5,14.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(100.0),(58.3)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(100.0),(72.0)
Children age 12-23 months who have received BCG (%),(100.0),(92.7)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(100.0),(71.0)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(100.0),(81.3)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(100.0),(86.1)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(57.9),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(90.3),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(100.0),(55.5)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),75.4,81.5
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),(95.4)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),(4.6)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.3,9.3
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,3.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(84.8)
Children under age 3 years breastfed within one hour of birth (%),51.1,40.5
Children under age 6 months exclusively breastfed (%),*,*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),(11.6),8.0
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet  (%),10.6,9.2
Children under 5 years who are stunted (height-for-age) (%),40.1,27.2
Children under 5 years who are wasted (weight-for-height) (%),12.0,13.1
Children under 5 years who are severely wasted (weight-for-height) (%),2.8,4.5
Children under 5 years who are underweight (weight-for-age) (%),38.8,23.4
Children under 5 years who are overweight (weight-for-height) (%),5.0,1.6
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),17.5,15.7
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),29.1,28.4
Women who have high risk waist-to-hip ratio (≥0.85) (%),53.2,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),44.8,28.3
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),53.4,39.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(38.1)
All women age 15-49 years who are anaemic (%),53.0,39.1
All women age 15-19 years who are anaemic (%),55.5,33.0
Women - Blood sugar level - high (141-160 mg/dl)(%),9.3,na
Women - Blood sugar level - very high (>160 mg/dl)(%),8.0,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.9,na
Men - Blood sugar level - high (141-160 mg/dl)(%),9.8,na
Men - Blood sugar level - very high (>160 mg/dl) (%),9.1,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),19.9,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.5,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.3,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.1,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.1,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.6,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.3,na
Ever undergone a screening test for cervical cancer (%),0.4,na
Ever undergone a breast examination for breast cancer (%),0.0,na
Ever undergone an oral cavity examination for oral cancer (%),0.2,na
Women age 15 years and above who use any kind of tobacco (%),1.8,na
Men age 15 years and above who use any kind of tobacco (%),33.3,na
Women age 15 years and above who consume alcohol (%),0.3,na
Men age 15 years and above who consume alcohol (%),26.2,na
