Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),65.6,65.7
Population below age 15 years (%),17.8,19.0
"Sex ratio of the total population (females per 1,000 males)","1,077",994
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,182",787
Children under age 5 years whose birth was registered with the civil authority (%),98.9,95.1
Deaths in the last 3 years registered with the civil authority (%),92.3,na
Population living in households with electricity (%),99.8,98.2
Population living in households with an improved drinking-water source (%),89.2,97.2
Population living in households that use an improved sanitation facility(%),61.7,54.7
Households using clean fuel for cooking (%),71.7,59.9
Households using iodized salt (%),99.2,99.7
Households with any usual member covered under a health insurance/financing scheme (%),31.2,21.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(9.6),na
Women who are literate (%),86.2,na
Women with 10 or more years of schooling (%),55.9,51.9
Women age 20-24 years married before age 18 years (%),11.2,13.8
Births in the 5 years preceding the survey that are third or higher order (%),1.5,1.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.1,7.5
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),90.9,84.6
Any method (%),78.5,62.0
Any modern method (%),66.3,58.7
Female sterilization (%),27.5,28.6
Male sterilization (%),13.3,15.6
IUD/PPIUD (%),4.4,4.3
Pill (%),1.6,2.5
Condom (%),18.1,7.6
Injectables (%),0.9,0.0
Total unmet need(%),5.7,12.9
Unmet need for spacing (%),1.4,3.7
Health worker ever talked to female non-users about family planning (%),16.4,16.9
Current users ever told about side effects of current method (%),46.4,35.9
Mothers who had an antenatal check-up in the first trimester (%),62.4,71.4
Mothers who had at least 4 antenatal care visits (%),65.6,61.5
Mothers whose last birth was protected against neonatal tetanus (%),95.4,90.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.7,46.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),48.0,12.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.4,97.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),81.1,62.6
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,533","4,472"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(0.0)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),81.0,na
Institutional births (%),86.4,73.3
Institutional births in public facility (%),75.9,59.9
Home births that were conducted by skilled health personnel (%),2.3,3.3
Births attended by skilled health personnel (%),86.7,76.6
Births delivered by caesarean section (%),17.7,14.1
Births in a private health facility that were delivered by caesarean section (%),*,(54.3)
Births in a public health facility that were delivered by caesarean section (%),16.4,11.3
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(77.9),(58.9)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(100.0),*
Children age 12-23 months who have received BCG (%),(97.5),(91.7)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(79.8),(64.9)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(92.7),(76.3)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(92.9),(91.7)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(26.7),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(85.9),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(92.7),(43.6)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),74.5,62.1
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(95.5),(97.1)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(4.5),(0.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.5,3.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.3,0.7
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Children under age 3 years breastfed within one hour of birth (%),57.1,42.7
Children under age 6 months exclusively breastfed (%),*,*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),21.7,(11.6)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet  (%),19.7,(9.8)
Children under 5 years who are stunted (height-for-age) (%),28.5,23.0
Children under 5 years who are wasted (weight-for-height) (%),16.3,20.8
