District,Agency,Households,Women,Men
Bilaspur,"Population Research Centre, Himachal Pradesh University, Shimla",898,896,117
Chamba,"Population Research Centre, Himachal Pradesh University, Shimla",907,931,109
Hamirpur,"Population Research Centre, Himachal Pradesh University, Shimla",881,797,87
Kangra,"Population Research Centre, Himachal Pradesh University, Shimla",887,930,123
Kinnaur,"Population Research Centre, Himachal Pradesh University, Shimla",912,707,143
Kullu,"Population Research Centre, Himachal Pradesh University, Shimla",883,892,128
Lahul & Spiti,"Population Research Centre, Himachal Pradesh University, Shimla",875,698,113
Mandi,"Population Research Centre, Himachal Pradesh University, Shimla",902,878,112
Shimla,"Population Research Centre, Himachal Pradesh University, Shimla",904,864,126
Sirmaur,"Population Research Centre, Himachal Pradesh University, Shimla",906,1044,167
Solan,"Population Research Centre, Himachal Pradesh University, Shimla",883,855,148
Una,"Population Research Centre, Himachal Pradesh University, Shimla",860,876,104
