,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),62.4,62.5
2,Population below age 15 years (%),25.5,29.2
3,"Sex ratio of the total population (females per 1,000 males)",970,"1,050"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,000",875
5,Children under age 5 years whose birth was registered with the civil authority (%),87.0,73.0
6,Deaths in the last 3 years registered with the civil authority (%),75.3,na
7,Population living in households with electricity (%),99.0,95.3
8,Population living in households with an improved drinking-water source (%),89.8,91.0
9,Population living in households that use an improved sanitation facility(%),66.8,39.3
10,Households using clean fuel for cooking (%),77.9,54.3
11,Households using iodized salt (%),98.5,99.7
12,Households with any usual member covered under a health insurance/financing scheme (%),9.1,3.4
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.4,na
15,Women who are literate (%),66.6,na
16,Women with 10 or more years of schooling (%),35.9,28.2
18,Women age 20-24 years married before age 18 years (%),1.8,5.4
19,Births in the 5 years preceding the survey that are third or higher order (%),0.8,0.9
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,3.5
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),64.4,69.8
23,Any method (%),41.4,54.0
24,Any modern method (%),34.6,37.6
25,Female sterilization (%),18.1,21.5
26,Male sterilization (%),0.3,0.8
27,IUD/PPIUD (%),1.7,1.6
28,Pill (%),6.3,3.7
29,Condom (%),6.3,8.5
30,Injectables (%),1.6,1.4
32,Total unmet need(%),13.8,13.8
33,Unmet need for spacing (%),5.5,5.0
35,Health worker ever talked to female non-users about family planning (%),12.0,12.0
36,Current users ever told about side effects of current method (%),61.1,37.2
38,Mothers who had an antenatal check-up in the first trimester (%),82.9,83.1
39,Mothers who had at least 4 antenatal care visits (%),82.6,90.3
40,Mothers whose last birth was protected against neonatal tetanus (%),91.1,89.9
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),21.9,15.7
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.8,9.6
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.5,74.9
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),82.6,81.7
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,399","3,984"
