,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),84.0,79.7
1,Population below age 15 years (%),22.2,24.5
2,"Sex ratio of the total population (females per 1,000 males)",939,966
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",892,760
4,Children under age 5 years whose birth was registered with the civil authority (%),96.1,96.5
5,Deaths in the last 3 years registered with the civil authority (%),80.8,na
6,Population living in households with electricity (%),100.0,99.9
7,Population living in households with an improved drinking-water source (%),99.9,97.3
8,Population living in households that use an improved sanitation facility(%),81.2,64.5
9,Households using clean fuel for cooking (%),87.9,73.4
10,Households using iodized salt (%),98.9,99.8
11,Households with any usual member covered under a health insurance/financing scheme (%),23.3,11.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.6,na
13,Women who are literate (%),91.5,na
14,Women with 10 or more years of schooling (%),70.8,52.9
15,Women age 20-24 years married before age 18 years (%),5.3,6.9
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.8
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,4.6
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.3,78.6
19,Any method (%),67.9,63.8
20,Any modern method (%),57.1,54.2
21,Female sterilization (%),19.7,27.9
22,Male sterilization (%),0.8,0.2
23,IUD/PPIUD (%),6.9,1.7
24,Pill (%),9.7,4.6
25,Condom (%),17.3,19.3
26,Injectables (%),1.8,0.6
27,Total unmet need(%),6.7,12.4
28,Unmet need for spacing (%),2.9,4.6
29,Health worker ever talked to female non-users about family planning (%),6.8,21.0
30,Current users ever told about side effects of current method (%),73.1,55.4
31,Mothers who had an antenatal check-up in the first trimester (%),93.2,84.4
32,Mothers who had at least 4 antenatal care visits (%),95.4,83.9
33,Mothers whose last birth was protected against neonatal tetanus (%),92.0,91.6
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),51.4,56.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),27.3,45.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.0,89.3
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.2,84.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,714","4,300"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.0,na
41,Institutional births (%),96.5,91.8
42,Institutional births in public facility (%),88.7,84.2
43,Home births that were conducted by skilled health personnel (%),0.5,1.0
44,Births attended by skilled health personnel (%),97.0,95.2
45,Births delivered by caesarean section (%),43.3,28.4
46,Births in a private health facility that were delivered by caesarean section (%),*,*
47,Births in a public health facility that were delivered by caesarean section (%),41.8,26.1
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(84.1),(77.3)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(100.0),(83.0)
50,Children age 12-23 months who have received BCG (%),(95.5),(98.3)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(84.1),(84.6)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(95.5),(92.2)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(90.8),(88.4)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(16.5),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(0.0),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(88.5),(63.8)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),85.6,58.2
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),(89.9)
