,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),64.0,60.4
1,Population below age 15 years (%),25.4,27.8
2,"Sex ratio of the total population (females per 1,000 males)",962,982
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,097","1,032"
4,Children under age 5 years whose birth was registered with the civil authority (%),98.4,62.5
5,Deaths in the last 3 years registered with the civil authority (%),69.0,na
6,Population living in households with electricity (%),99.8,97.2
7,Population living in households with an improved drinking-water source (%),96.4,98.1
8,Population living in households that use an improved sanitation facility(%),80.5,54.7
9,Households using clean fuel for cooking (%),40.3,50.8
10,Households using iodized salt (%),97.8,96.8
11,Households with any usual member covered under a health insurance/financing scheme (%),4.2,1.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(0.0),na
13,Women who are literate (%),70.9,na
14,Women with 10 or more years of schooling (%),42.4,28.0
15,Women age 20-24 years married before age 18 years (%),3.7,3.5
16,Births in the 5 years preceding the survey that are third or higher order (%),0.3,0.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.1,1.6
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.9,54.0
19,Any method (%),70.8,60.4
20,Any modern method (%),55.0,36.8
21,Female sterilization (%),12.6,11.4
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),6.6,1.4
24,Pill (%),18.6,13.5
25,Condom (%),11.1,9.6
26,Injectables (%),4.8,0.7
27,Total unmet need(%),5.0,9.3
28,Unmet need for spacing (%),3.0,2.9
29,Health worker ever talked to female non-users about family planning (%),5.7,2.6
30,Current users ever told about side effects of current method (%),63.3,19.1
31,Mothers who had an antenatal check-up in the first trimester (%),95.5,87.2
32,Mothers who had at least 4 antenatal care visits (%),92.2,95.1
33,Mothers whose last birth was protected against neonatal tetanus (%),93.1,91.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),15.8,20.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),10.3,12.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.7,95.4
37,days of delivery (%),91.5,77.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,852","3,917"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(0.0)
40,days of delivery (%),92.6,na
41,Institutional births (%),98.9,89.5
42,Institutional births in public facility (%),94.4,85.2
43,Home births that were conducted by skilled health personnel (%),0.8,2.1
44,Births attended by skilled health personnel (%),99.6,91.6
45,Births delivered by caesarean section (%),45.8,32.3
46,Births in a private health facility that were delivered by caesarean section (%),*,*
47,Births in a public health facility that were delivered by caesarean section (%),43.7,34.6
48,mother's recall (%),98.1,83.0
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(98.0),90.0
50,Children age 12-23 months who have received BCG (%),100.0,97.6
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),100.0,89.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),98.1,94.5
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),100.0,89.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),44.4,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),98.1,78.3
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),92.6,66.4
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,100.0
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.1,10.8
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(68.4)
