District,Agency,Households,Women,Men
Anantnag,Karvy Data Management Services Ltd,906,1102,125
Badgam,Karvy Data Management Services Ltd,911,1200,172
Bandipore,Karvy Data Management Services Ltd,904,1263,177
Baramula,Karvy Data Management Services Ltd,908,1329,166
Doda,Karvy Data Management Services Ltd,877,1000,141
Ganderbal,Karvy Data Management Services Ltd,900,1202,158
Jammu,Karvy Data Management Services Ltd,889,1050,125
Kathua,Karvy Data Management Services Ltd,903,1064,149
Kishtwar,Karvy Data Management Services Ltd,895,1158,152
Kulgam,Karvy Data Management Services Ltd,912,1190,139
Kupwara,Karvy Data Management Services Ltd,904,1233,175
Pulwama,Karvy Data Management Services Ltd,906,1155,151
Punch,Karvy Data Management Services Ltd,918,1182,168
Rajouri,Karvy Data Management Services Ltd,917,1183,181
Ramban,Karvy Data Management Services Ltd,911,1192,182
Reasi,Karvy Data Management Services Ltd,915,1100,140
Samba,Karvy Data Management Services Ltd,901,1121,150
Shupiyan,Karvy Data Management Services Ltd,912,1135,148
Srinagar,Karvy Data Management Services Ltd,889,1030,138
Udhampur,Karvy Data Management Services Ltd,908,1148,150
