Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),52.7,51.6
Population below age 15 years (%),33.8,36.6
"Sex ratio of the total population (females per 1,000 males)","1,012","1,031"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",881,933
Children under age 5 years whose birth was registered with the civil authority (%),82.4,60.9
Deaths in the last 3 years registered with the civil authority (%),30.1,na
Population living in households with electricity (%),93.5,80.2
Population living in households with an improved drinking-water source (%),91.4,86.0
Population living in households that use an improved sanitation facility(%),54.9,17.8
Households using clean fuel for cooking (%),19.7,6.0
Households using iodized salt (%),98.9,97.2
Households with any usual member covered under a health insurance/financing scheme (%),45.9,6.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),7.7,na
Women who are literate (%),46.6,na
Women with 10 or more years of schooling (%),19.6,18.6
Women age 20-24 years married before age 18 years (%),48.5,63.5
Births in the 5 years preceding the survey that are third or higher order (%),3.1,2.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),16.1,21.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),64.8,32.2
Any method (%),65.0,46.2
Any modern method (%),50.6,40.2
Female sterilization (%),38.0,34.3
Male sterilization (%),0.3,0.1
IUD/PPIUD (%),2.2,0.6
Pill (%),3.2,2.4
Condom (%),3.4,2.8
Injectables (%),0.5,0.0
Total unmet need(%),11.3,16.0
Unmet need for spacing (%),3.2,10.2
Health worker ever talked to female non-users about family planning (%),34.3,21.2
Current users ever told about side effects of current method (%),56.7,37.7
Mothers who had an antenatal check-up in the first trimester (%),63.1,56.0
Mothers who had at least 4 antenatal care visits (%),39.2,28.8
Mothers whose last birth was protected against neonatal tetanus (%),95.7,93.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),16.7,8.8
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),10.4,2.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.4,89.7
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),67.9,45.2
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,463","1,120"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),5.5,0.8
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),66.8,na
Institutional births (%),70.2,57.5
Institutional births in public facility (%),63.6,50.6
Home births that were conducted by skilled health personnel (%),13.8,8.7
Births attended by skilled health personnel (%),83.3,66.0
Births delivered by caesarean section (%),4.7,4.9
Births in a private health facility that were delivered by caesarean section (%),(37.7),(34.1)
Births in a public health facility that were delivered by caesarean section (%),3.5,5.0
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),63.9,60.1
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),71.0,54.8
Children age 12-23 months who have received BCG (%),90.7,93.4
Children age 12-23 months who have received 3 doses of polio vaccine (%),69.8,75.4
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),86.4,87.4
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),86.8,79.4
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),24.4,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),56.2,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),82.6,57.4
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),62.9,51.0
Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,98.4
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.6
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.8,6.1
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(59.9),(42.0)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(18.1),(11.6)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(43.7),(72.2)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.2,4.8
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(49.0),81.2
Children under age 3 years breastfed within one hour of birth (%),17.2,40.6
Children under age 6 months exclusively breastfed (%),(71.1),(79.6)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet (%),8.3,6.6
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet (%),7.6,6.3
Children under 5 years who are stunted (height-for-age) (%),39.4,54.0
Children under 5 years who are wasted (weight-for-height) (%),24.5,24.8
Children under 5 years who are severely wasted (weight-for-height) (%),11.2,10.6
Children under 5 years who are underweight (weight-for-age) (%),40.7,46.0
Children under 5 years who are overweight (weight-for-height) (%),4.7,0.5
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),23.6,35.6
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),10.7,6.9
Women who have high risk waist-to-hip ratio (≥0.85) (%),59.4,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),75.1,80.7
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),66.3,72.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(65.2),(60.4)
All women age 15-49 years who are anaemic (%),66.3,71.6
All women age 15-19 years who are anaemic (%),62.0,73.6
Women - Blood sugar level - high (141-160 mg/dl)(%),6.7,na
Women - Blood sugar level - very high (>160 mg/dl)(%),5.9,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.2,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.1,na
Men - Blood sugar level - very high (>160 mg/dl) (%),8.7,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.1,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.4,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.1,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),18.6,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.0,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.9,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),20.2,na
Ever undergone a screening test for cervical cancer (%),0.5,na
Ever undergone a breast examination for breast cancer (%),0.0,na
Ever undergone an oral cavity examination for oral cancer (%),0.5,na
Women age 15 years and above who use any kind of tobacco (%),2.7,na
Men age 15 years and above who use any kind of tobacco (%),45.1,na
Women age 15 years and above who consume alcohol (%),3.3,na
Men age 15 years and above who consume alcohol (%),34.2,na
