,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),66.1,63.8
2,Population below age 15 years (%),32.6,33.2
3,"Sex ratio of the total population (females per 1,000 males)","1,083","1,004"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",856,862
5,Children under age 5 years whose birth was registered with the civil authority (%),75.4,79.7
6,Deaths in the last 3 years registered with the civil authority (%),31.8,na
7,Population living in households with electricity (%),98.2,97.0
8,Population living in households with an improved drinking-water source (%),85.5,65.9
9,Population living in households that use an improved sanitation facility(%),55.6,28.5
10,Households using clean fuel for cooking (%),36.8,18.0
11,Households using iodized salt (%),95.0,98.3
12,Households with any usual member covered under a health insurance/financing scheme (%),55.0,18.8
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.4,na
15,Women who are literate (%),67.2,na
16,Women with 10 or more years of schooling (%),40.1,35.4
18,Women age 20-24 years married before age 18 years (%),38.6,40.8
19,Births in the 5 years preceding the survey that are third or higher order (%),3.3,2.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.9,9.0
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.6,47.7
23,Any method (%),60.8,55.8
24,Any modern method (%),53.6,54.8
25,Female sterilization (%),45.8,50.1
26,Male sterilization (%),0.2,0.0
27,IUD/PPIUD (%),0.8,1.0
28,Pill (%),1.1,0.8
29,Condom (%),3.4,2.5
30,Injectables (%),0.3,0.0
32,Total unmet need(%),11.5,15.5
33,Unmet need for spacing (%),6.4,9.7
35,Health worker ever talked to female non-users about family planning (%),20.3,36.7
36,Current users ever told about side effects of current method (%),37.8,54.2
39,Mothers who had an antenatal check-up in the first trimester (%),59.8,59.4
40,Mothers who had at least 4 antenatal care visits (%),36.4,39.1
41,Mothers whose last birth was protected against neonatal tetanus (%),88.5,91.7
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),23.8,13.4
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),16.8,0.8
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),89.0,96.3
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),65.4,58.4
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,328","1,431"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),8.0,7.3
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),67.7,na
52,Institutional births (%),82.0,76.5
53,Institutional births in public facility (%),59.8,47.4
54,Home births that were conducted by skilled health personnel (%),7.2,6.9
55,Births attended by skilled health personnel (%),85.6,83.2
56,Births delivered by caesarean section (%),14.7,15.7
57,Births in a private health facility that were delivered by caesarean section (%),37.8,45.9
58,Births in a public health facility that were delivered by caesarean section (%),10.6,4.9
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),70.1,72.5
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),80.5,89.9
63,Children age 12-23 months who have received BCG (%),97.1,100.0
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),71.8,73.5
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),89.9,90.5
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),85.9,97.1
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),39.9,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),75.5,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.4,67.0
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),71.1,71.9
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.1,97.7
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.9,2.3
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.1,5.9
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(54.4),(60.6)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(20.0),(30.1)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(64.2),(66.0)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.7,3.5
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),67.3,65.6
