,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),63.1,58.5
1,Population below age 15 years (%),29.8,30.9
2,"Sex ratio of the total population (females per 1,000 males)",992,974
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",709,"1,082"
4,Children under age 5 years whose birth was registered with the civil authority (%),82.9,76.4
5,Deaths in the last 3 years registered with the civil authority (%),35.1,na
6,Population living in households with electricity (%),92.9,68.9
7,Population living in households with an improved drinking-water source (%),68.6,53.1
8,Population living in households that use an improved sanitation facility(%),55.2,15.2
9,Households using clean fuel for cooking (%),18.7,7.3
10,Households using iodized salt (%),97.4,97.7
11,Households with any usual member covered under a health insurance/financing scheme (%),58.2,5.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.6,na
13,Women who are literate (%),55.3,na
14,Women with 10 or more years of schooling (%),29.3,27.2
15,Women age 20-24 years married before age 18 years (%),21.7,27.8
16,Births in the 5 years preceding the survey that are third or higher order (%),0.7,2.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.3,6.4
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),71.0,57.0
19,Any method (%),58.4,37.6
20,Any modern method (%),43.4,34.4
21,Female sterilization (%),27.7,20.2
22,Male sterilization (%),0.1,0.0
23,IUD/PPIUD (%),3.2,4.6
24,Pill (%),4.5,6.7
25,Condom (%),5.0,2.6
26,Injectables (%),0.9,0.3
27,Total unmet need(%),11.8,19.1
28,Unmet need for spacing (%),4.8,9.2
29,Health worker ever talked to female non-users about family planning (%),37.5,46.3
30,Current users ever told about side effects of current method (%),67.0,80.6
31,Mothers who had an antenatal check-up in the first trimester (%),71.3,55.5
32,Mothers who had at least 4 antenatal care visits (%),37.4,43.0
33,Mothers whose last birth was protected against neonatal tetanus (%),91.7,91.8
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),47.6,24.4
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),30.8,2.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.1,92.9
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),63.9,44.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,314","1,326"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),6.7,2.0
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),61.0,na
41,Institutional births (%),73.8,67.7
42,Institutional births in public facility (%),64.2,59.4
43,Home births that were conducted by skilled health personnel (%),11.0,8.4
44,Births attended by skilled health personnel (%),80.1,75.9
45,Births delivered by caesarean section (%),7.2,6.2
46,Births in a private health facility that were delivered by caesarean section (%),(46.2),(32.4)
47,Births in a public health facility that were delivered by caesarean section (%),4.3,5.9
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),71.9,72.7
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),79.6,80.5
50,Children age 12-23 months who have received BCG (%),91.6,95.3
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),76.5,83.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),81.7,93.9
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.4,91.2
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),28.5,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),70.5,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),83.8,68.8
