,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),58.4,50.9
1,Population below age 15 years (%),35.8,33.8
2,"Sex ratio of the total population (females per 1,000 males)","1,049","1,048"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",872,"1,010"
4,Children under age 5 years whose birth was registered with the civil authority (%),66.6,56.0
5,Deaths in the last 3 years registered with the civil authority (%),42.0,na
6,Population living in households with electricity (%),83.3,69.4
7,Population living in households with an improved drinking-water source (%),79.3,68.1
8,Population living in households that use an improved sanitation facility(%),37.7,16.6
9,Households using clean fuel for cooking (%),15.5,10.0
10,Households using iodized salt (%),96.9,99.5
11,Households with any usual member covered under a health insurance/financing scheme (%),46.7,4.7
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),11.4,na
13,Women who are literate (%),47.8,na
14,Women with 10 or more years of schooling (%),22.9,20.6
15,Women age 20-24 years married before age 18 years (%),24.4,21.3
16,Births in the 5 years preceding the survey that are third or higher order (%),2.4,2.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.7,9.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),80.4,47.1
19,Any method (%),55.9,15.9
20,Any modern method (%),36.3,15.4
21,Female sterilization (%),12.9,12.7
22,Male sterilization (%),0.5,0.2
23,IUD/PPIUD (%),2.9,0.7
24,Pill (%),7.4,1.4
25,Condom (%),7.6,0.5
26,Injectables (%),1.0,0.1
27,Total unmet need(%),12.5,25.9
28,Unmet need for spacing (%),5.0,9.5
29,Health worker ever talked to female non-users about family planning (%),43.6,6.8
30,Current users ever told about side effects of current method (%),71.2,(17.4)
31,Mothers who had an antenatal check-up in the first trimester (%),62.6,19.6
32,Mothers who had at least 4 antenatal care visits (%),34.9,12.6
33,Mothers whose last birth was protected against neonatal tetanus (%),89.8,82.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),37.4,10.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),23.1,3.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.0,89.0
37,days of delivery (%),58.8,25.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,183",919
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),5.2,1.1
40,days of delivery (%),61.5,na
41,Institutional births (%),67.9,37.4
42,Institutional births in public facility (%),64.3,30.9
43,Home births that were conducted by skilled health personnel (%),8.4,3.9
44,Births attended by skilled health personnel (%),70.1,40.6
45,Births delivered by caesarean section (%),4.0,3.9
46,Births in a private health facility that were delivered by caesarean section (%),*,(53.7)
47,Births in a public health facility that were delivered by caesarean section (%),3.3,1.4
48,mother's recall (%),87.0,49.7
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),89.0,(73.2)
50,Children age 12-23 months who have received BCG (%),96.2,91.8
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),90.0,66.3
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92.1,72.7
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),92.1,67.8
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),22.3,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),86.9,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89.4,51.4
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.7,42.5
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),99.0,100.0
