District,Agency,Households,Women,Men
Bokaro,Development and Research Services Pvt. Ltd. (DRS),955,1127,157
Chatra,Development and Research Services Pvt. Ltd. (DRS),933,1154,120
Deoghar,Development and Research Services Pvt. Ltd. (DRS),953,1066,136
Dhanbad,Development and Research Services Pvt. Ltd. (DRS),945,1181,166
Dumka,Development and Research Services Pvt. Ltd. (DRS),942,958,122
Garhwa,Development and Research Services Pvt. Ltd. (DRS),913,1060,128
Giridih,Development and Research Services Pvt. Ltd. (DRS),958,1124,114
Godda,Development and Research Services Pvt. Ltd. (DRS),913,913,109
Gumla,Development and Research Services Pvt. Ltd. (DRS),986,1113,176
Hazaribagh,Development and Research Services Pvt. Ltd. (DRS),914,1189,95
Jamtara,Development and Research Services Pvt. Ltd. (DRS),948,1073,144
Khunti,Development and Research Services Pvt. Ltd. (DRS),987,1103,142
Kodarma,Development and Research Services Pvt. Ltd. (DRS),918,1227,142
Latehar,Development and Research Services Pvt. Ltd. (DRS),964,1148,161
Lohardaga,Development and Research Services Pvt. Ltd. (DRS),980,1107,145
Pakur,Development and Research Services Pvt. Ltd. (DRS),905,966,104
Palamu,Development and Research Services Pvt. Ltd. (DRS),969,1204,143
Pashchimi Singhbhum,Development and Research Services Pvt. Ltd. (DRS),990,1076,145
Purbi Singhbhum,Development and Research Services Pvt. Ltd. (DRS),989,1133,177
Ramgarh,Development and Research Services Pvt. Ltd. (DRS),938,1123,178
Ranchi,Development and Research Services Pvt. Ltd. (DRS),979,1182,156
Sahibganj,Development and Research Services Pvt. Ltd. (DRS),912,1007,113
Saraikela-Kharsawan,Development and Research Services Pvt. Ltd. (DRS),984,1126,183
Simdega,Development and Research Services Pvt. Ltd. (DRS),988,1135,158
