Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),74.9,69.1
Population below age 15 years (%),21.9,23.0
"Sex ratio of the total population (females per 1,000 males)",967,951
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",797,"1,029"
Children under age 5 years whose birth was registered with the civil authority (%),97.0,96.1
Deaths in the last 3 years registered with the civil authority (%),82.4,na
Population living in households with electricity (%),98.8,98.9
Population living in households with an improved drinking-water source (%),97.5,99.6
Population living in households that use an improved sanitation facility(%),83.3,63.1
Households using clean fuel for cooking (%),79.1,52.7
Households using iodized salt (%),94.9,81.9
Households with any usual member covered under a health insurance/financing scheme (%),25.2,38.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),18.1,na
Women who are literate (%),76.0,na
Women with 10 or more years of schooling (%),47.1,45.0
Women age 20-24 years married before age 18 years (%),19.1,23.6
Births in the 5 years preceding the survey that are third or higher order (%),2.6,2.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.9,8.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),80.2,69.7
Any method (%),47.1,57.7
Any modern method (%),46.9,57.2
Female sterilization (%),41.6,55.0
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),1.5,1.5
Pill (%),1.1,0.1
Condom (%),2.3,0.5
Injectables (%),0.4,0.0
Total unmet need(%),11.5,7.9
Unmet need for spacing (%),4.8,5.2
Health worker ever talked to female non-users about family planning (%),16.2,11.5
Current users ever told about side effects of current method (%),45.0,17.7
Mothers who had an antenatal check-up in the first trimester (%),63.0,83.6
Mothers who had at least 4 antenatal care visits (%),63.1,88.1
Mothers whose last birth was protected against neonatal tetanus (%),86.4,93.0
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),25.0,65.4
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),21.0,40.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.3,94.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),78.9,62.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"7,508","2,988"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),74.0,na
Institutional births (%),98.3,97.3
Institutional births in public facility (%),68.9,70.2
Home births that were conducted by skilled health personnel (%),0.7,1.7
Births attended by skilled health personnel (%),88.1,98.7
Births delivered by caesarean section (%),39.8,27.6
Births in a private health facility that were delivered by caesarean section (%),59.9,48.6
Births in a public health facility that were delivered by caesarean section (%),32.2,20.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(79.4),75.2
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(83.5),(80.7)
Children age 12-23 months who have received BCG (%),(96.0),100.0
Children age 12-23 months who have received 3 doses of polio vaccine (%),(81.2),84.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(93.7),88.0
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(89.2),96.1
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(35.4),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(6.6),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(92.1),74.2
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),78.7,87.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(96.0),89.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(4.0),11.1
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.2,6.3
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(54.5),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(11.1),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(69.9),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.4,1.1
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(44.6),*
Children under age 3 years breastfed within one hour of birth (%),37.0,72.1
Children under age 6 months exclusively breastfed (%),(80.8),(68.9)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),12.6,10.4
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
Total children age 6-23 months receiving an adequate diet  (%),16.8,8.9
Children under 5 years who are stunted (height-for-age) (%),38.4,46.4
Children under 5 years who are wasted (weight-for-height) (%),18.8,22.4
Children under 5 years who are severely wasted (weight-for-height) (%),3.9,5.5
Children under 5 years who are underweight (weight-for-age) (%),32.8,41.9
Children under 5 years who are overweight (weight-for-height) (%),2.5,1.8
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.9,22.7
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),38.1,25.9
Women who have high risk waist-to-hip ratio (≥0.85) (%),40.4,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),70.2,65.9
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),51.9,47.5
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(33.0)
All women age 15-49 years who are anaemic (%),51.7,46.9
All women age 15-19 years who are anaemic (%),51.5,44.4
Women - Blood sugar level - high (141-160 mg/dl)(%),6.3,na
Women - Blood sugar level - very high (>160 mg/dl)(%),7.9,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.1,na
Men - Blood sugar level - high (141-160 mg/dl)(%),6.5,na
Men - Blood sugar level - very high (>160 mg/dl) (%),9.7,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.5,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.6,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.5,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.8,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.6,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.4,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),29.5,na
Ever undergone a screening test for cervical cancer (%),0.9,na
Ever undergone a breast examination for breast cancer (%),0.9,na
Ever undergone an oral cavity examination for oral cancer (%),0.6,na
Women age 15 years and above who use any kind of tobacco (%),8.9,na
Men age 15 years and above who use any kind of tobacco (%),30.0,na
Women age 15 years and above who consume alcohol (%),1.7,na
Men age 15 years and above who consume alcohol (%),14.1,na
